time = 480                                                                            [16/1809]
Run 1, 0.9554, 0.2537
Run 2, 0.9592, 0.2164
Run 3, 0.9568, 0.2239
Run 4, 0.9595, 0.2052
Run 5, 0.9605, 0.2000
Run 6, 0.9592, 0.2090
Run 7, 0.9596, 0.2047
Run 8, 0.9586, 0.2108
Run 9, 0.9588, 0.2090
Run 10, 0.9577, 0.2149
time = 1440
Run 1, 0.9556, 0.2289
Run 2, 0.9564, 0.2164
Run 3, 0.9555, 0.2206
Run 4, 0.9553, 0.2214
Run 5, 0.9562, 0.2159
Run 6, 0.9548, 0.2239
Run 7, 0.9552, 0.2217
Run 8, 0.9551, 0.2239
Run 9, 0.9562, 0.2184
Run 10, 0.9563, 0.2184
time = 10080
Run 1, 0.9517, 0.2470
Run 2, 0.9527, 0.2384
Run 3, 0.9536, 0.2353
Run 4, 0.9532, 0.2372
Run 5, 0.9534, 0.2364
Run 6, 0.9527, 0.2407
Run 7, 0.9527, 0.2404
Run 8, 0.9531, 0.2388
Run 9, 0.9532, 0.2383
Run 10, 0.9533, 0.2380
time = 43200
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
Run 3, 0.9538, 0.2377
Run 4, 0.9539, 0.2368
Run 5, 0.9542, 0.2354
Run 6, 0.9545, 0.2340
Run 7, 0.9544, 0.2342
Run 8, 0.9544, 0.2345
Run 9, 0.9544, 0.2344
Run 10, 0.9544, 0.2347
time = 86400
Run 1, 0.9534, 0.2423
Run 2, 0.9538, 0.2382
Run 3, 0.9540, 0.2370
Run 4, 0.9540, 0.2365
Run 5, 0.9541, 0.2361
Run 6, 0.9542, 0.2355
Run 7, 0.9542, 0.2358
Run 8, 0.9542, 0.2359
Run 9, 0.9540, 0.2365
Run 10, 0.9541, 0.2363

Varying run data

run = 2
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
run = 5
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
Run 3, 0.9538, 0.2377
Run 4, 0.9539, 0.2368
Run 5, 0.9542, 0.2354
run = 10
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
Run 3, 0.9538, 0.2377
Run 4, 0.9539, 0.2368
Run 5, 0.9542, 0.2354
Run 6, 0.9545, 0.2340
Run 7, 0.9544, 0.2342
Run 8, 0.9544, 0.2345
Run 9, 0.9544, 0.2344
Run 10, 0.9544, 0.2347
run = 20
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
Run 3, 0.9538, 0.2377
Run 4, 0.9539, 0.2368
Run 5, 0.9542, 0.2354
Run 6, 0.9545, 0.2340
Run 7, 0.9544, 0.2342
Run 8, 0.9544, 0.2345
Run 9, 0.9544, 0.2344
Run 10, 0.9544, 0.2347
Run 11, 0.9544, 0.2347
Run 12, 0.9544, 0.2345
Run 13, 0.9544, 0.2344
Run 14, 0.9544, 0.2347
Run 15, 0.9543, 0.2350
Run 16, 0.9544, 0.2349
Run 17, 0.9543, 0.2352
Run 18, 0.9543, 0.2353
Run 19, 0.9542, 0.2355
Run 20, 0.9543, 0.2351
run = 30
Run 1, 0.9524, 0.2475
Run 2, 0.9530, 0.2415
Run 3, 0.9538, 0.2377
Run 4, 0.9539, 0.2368
Run 5, 0.9542, 0.2354
Run 6, 0.9545, 0.2340
Run 7, 0.9544, 0.2342
Run 8, 0.9544, 0.2345
Run 9, 0.9544, 0.2344
Run 10, 0.9544, 0.2347
Run 11, 0.9544, 0.2347
Run 12, 0.9544, 0.2345
Run 13, 0.9544, 0.2344
Run 14, 0.9544, 0.2347
Run 15, 0.9543, 0.2350
Run 16, 0.9544, 0.2349
Run 17, 0.9543, 0.2352
Run 18, 0.9543, 0.2353
Run 19, 0.9542, 0.2355
Run 20, 0.9543, 0.2351
Run 21, 0.9544, 0.2347
Run 22, 0.9543, 0.2349
Run 23, 0.9543, 0.2348
Run 24, 0.9544, 0.2347
Run 25, 0.9544, 0.2348
Run 26, 0.9543, 0.2349
Run 27, 0.9544, 0.2346
Run 28, 0.9544, 0.2345
Run 29, 0.9544, 0.2345
Run 30, 0.9544, 0.2344
