Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"10310(40.632789000212, -74.11645860538)",Small residential,5137096,541992,National Grid
"10011(40.744715266696, -74.00460000029)",Commercial,9456458,997709,ConEd
"10461(40.846960590359, -73.840632836736)",Commercial,3657783,385917,ConEd
"10027(40.811549564461, -73.952900335682)",Residential,2542279,268225,ConEd
"10453(40.852786838342, -73.913426784319)",Large Residential,1136648,119923,ConEd
"11252(40.607934094183, -74.02694266727)",Commercial,38852,4099,National Grid
"10030(40.818435176043, -73.942765303576)",Residential,159864,16867,ConEd
"11213(40.671225169206, -73.936443366368)",Institutional,889348,93831,National Grid
"11368(40.749678220374, -73.853040688577)",Commercial,978,103,ConEd
"10463(40.881871962821, -73.911207480541)",Commercial,3561,376,ConEd
"10470(40.900127971928, -73.87122775026)",Residential,236066,24906,ConEd
"10024(40.783625568166, -73.966539000574)",Residential,3988908,420852,ConEd
"10021(40.769205327664, -73.959183941086)",Commercial,6581,694,ConEd
"11203(40.649721601171, -73.934276085673)",Institutional,7869164,830241,National Grid
"11414(40.658170228174, -73.844962639814)",Commercial,1151068,121444,National Grid
"10452(40.837724263364, -73.923332211412)",Commercial,1823135,192351,ConEd
"11428(40.721396964798, -73.741937297268)",Small residential,3960945,417902,National Grid
"11230(40.621929510239, -73.965511060187)",Small residential,11665262,1230750,National Grid
"10026(40.803058121635, -73.953342776048)",Commercial,1153347,121685,ConEd
"11360(40.780701334399, -73.782267336868)",Residential,2617396,276150,ConEd
"10013(40.721242188776, -74.008889000227)",Residential,228453,24103,ConEd
"11435(40.701192649122, -73.809796655791)",Small residential,6630439,699548,National Grid
"10030(40.818435176043, -73.942765303576)",Residential,2016283,212729,ConEd
"10016(40.745242969987, -73.978232985864)",Commercial,7176247,757134,ConEd
"11004(40.743237834359, -73.712015000192)",Commercial,280325,29576,ConEd
"10464(40.875709096797, -73.812297250418)",Residential,1094782,115506,ConEd
"10461(40.846960590359, -73.840632836736)",Residential,587242,61957,ConEd
"11355(40.751299796948, -73.821478547897)",Residential,503099,53080,ConEd
"10308(40.552935295428, -74.151302759814)",Small residential,6910394,729085,National Grid
"10040(40.858095531883, -73.929255489949)",Commercial,717611,75712,ConEd
"11693(40.618303604728, -73.824955315236)",Large residential,2505401,264334,National Grid
"11234(40.61636866748, -73.927732249743)",Institutional,1812535,191233,National Grid
"10075(40.772939491764, -73.956090162631)",Commercial,3374658,356045,ConEd
"11358(40.760350968822, -73.796326458199)",Residential,5983515,631294,ConEd
"11430(40.647229326173, -73.786374952542)",Industrial,563052,59405,National Grid
"10034(40.870617109292, -73.924223258796)",Large Residential,281557,29706,ConEd
"10457(40.845798371298, -73.898324186812)",Commercial,3139507,331236,ConEd
"10009(40.726649358981, -73.979111485007)",Residential,2516364,265491,ConEd
"11415(40.708286075142, -73.828556121568)",Commercial,586484,61877,National Grid
"11235(40.578414108824, -73.940260000099)",Small residential,9977961,1052731,National Grid
"11211(40.711589765256, -73.958176750756)",Small residential,9211590,971874,National Grid
"11423(40.717222295672, -73.76714149998)",Commercial,660047,69639,National Grid
"10306(40.566020489654, -74.119945669057)",Industrial,3660,386,National Grid
"11379(40.71679766548, -73.879334213103)",Large residential,659949,69628,National Grid
"10301(40.626785508445, -74.096112910882)",Institutional,1244001,131249,National Grid
"11217(40.682312101322, -73.979567188575)",Industrial,115795,12217,National Grid
"10306(40.566020489654, -74.119945669057)",Small residential,13376088,1411252,National Grid
"11429(40.709913120494, -73.738640316098)",Residential,796,84,ConEd
"10036(40.759346827194, -73.989860554421)",Commercial,10571859,1115390,ConEd
"11427(40.729310574324, -73.750676021281)",Commercial,1165892,123008,ConEd
"11421(40.691764587566, -73.85702228585)",Industrial,22617,2386,National Grid
"10456(40.830436680009, -73.907765199504)",Residential,1999484,210957,ConEd
"10280(40.709594512277, -74.020224535534)",Commercial,1396819,147372,ConEd
"10305(40.596184688173, -74.075072384883)",Small residential,8586364,905909,National Grid
"11364(40.74592468038, -73.757902755608)",Commercial,768785,81111,ConEd
"11363(40.772398418252, -73.746797887413)",Residential,54273,5726,ConEd
"11373(40.738710402563, -73.878351155182)",Commercial,,,ConEd
"10075(40.772939491764, -73.956090162631)",Residential,110074,11613,ConEd
"10463(40.881871962821, -73.911207480541)",Large Residential,219710,23181,ConEd
"10007(40.713630519433, -74.009131383706)",Commercial,1220273,128746,ConEd
"10305(40.596184688173, -74.075072384883)",Large residential,1136630,119921,National Grid
"10020(40.759498513146, -73.980074397216)",Large Residential,271824,28679,ConEd
"11377(40.745193764481, -73.90484714408)",Commercial,3893626,410799,National Grid
"11374(40.726464917022, -73.861480847563)",Small residential,3149947,332337,National Grid
"10039(40.826681928628, -73.937770907801)",Residential,81485,8597,ConEd
"11428(40.721396964798, -73.741937297268)",Large residential,172865,18238,National Grid
"11363(40.772398418252, -73.746797887413)",Commercial,538595,56825,ConEd
"10469(40.868181802748, -73.846568687795)",Large Residential,18293,1930,ConEd
"10001(40.750259021437, -73.99688630376)",Commercial,7191956,758792,ConEd
"11226(40.646505002304, -73.957190099144)",Commercial,2807970,296257,National Grid
"11428(40.721396964798, -73.741937297268)",Residential,6282,663,ConEd
"11219(40.632772955408, -73.996676811186)",Small residential,13366615,1410253,National Grid
"11358(40.760350968822, -73.796326458199)",Commercial,2055,217,ConEd
"10466(40.890809730185, -73.846009063068)",Residential,891414,94049,ConEd
"11427(40.729310574324, -73.750676021281)",Industrial,14014,1479,National Grid
"11432(40.71311535449, -73.792820999789)",Industrial,106054,11189,National Grid
"10021(40.769205327664, -73.959183941086)",Commercial,5344734,563899,ConEd
"10032(40.836930349056, -73.949178521971)",Large Residential,10872811,1147142,ConEd
"10069(40.778254000322, -73.988541999913)",Residential,44780,4725,ConEd
"10022(40.758630224006, -73.96809182218)",Large Residential,98604,10403,ConEd
"10032(40.836930349056, -73.949178521971)",Commercial,4152807,438144,ConEd
"11368(40.749678220374, -73.853040688577)",Large residential,6347326,669678,National Grid
"10465(40.827628067581, -73.822413141353)",Commercial,1220820,128803,ConEd
"11370(40.75935377086, -73.8918440004)",Small residential,5080675,536040,National Grid
"10010(40.739140782121, -73.982898456399)",Commercial,2096300,221171,ConEd
"11225(40.663170058551, -73.953701109119)",Small residential,4686218,494422,National Grid
"10458(40.862601328688, -73.884790015047)",Large Residential,2881283,303991,ConEd
"11378(40.721453104977, -73.908543500682)",Large residential,618419,65247,National Grid
"11205(40.693882095283, -73.964334507731)",Small residential,3834731,404586,National Grid
"11369(40.763413273704, -73.872378898667)",Institutional,168544,17782,National Grid
"11420(40.673345242689, -73.817707171649)",Commercial,8380985,884241,National Grid
"10075(40.772939491764, -73.956090162631)",Residential,1035531,109254,ConEd
"11243(40.685030000035, -73.978075000161)",Commercial,558,59,National Grid
"10302(40.630833311108, -74.137734298699)",Large residential,321677,33939,National Grid
"10029(40.791610720558, -73.944032281065)",Commercial,2344076,247313,ConEd
"11223(40.596939623165, -73.973311472047)",Commercial,2376036,250685,National Grid
"10303(40.633032309993, -74.16834884982)",Small residential,4136073,436379,National Grid
"11367(40.730323085042, -73.82610630716)",Small residential,1753,185,National Grid
"10459(40.825526216162, -73.893131067844)",Commercial,5960440,628860,ConEd
"10044(40.761976486226, -73.949999674945)",Commercial,234470,24738,ConEd
"10467(40.877047912132, -73.871532500824)",Commercial,3067369,323625,ConEd
"10461(40.846960590359, -73.840632836736)",Residential,4848889,511585,ConEd
"11230(40.621929510239, -73.965511060187)",Large residential,12513612,1320256,National Grid
"11218(40.64322700852, -73.976448622106)",Commercial,2009772,212042,National Grid
"11103(40.762868930257, -73.91327185811)",Commercial,1904692,200956,ConEd
"11694(40.576578305644, -73.850777000558)",Small residential,4716368,497603,National Grid
"11385(40.701224891615, -73.88334858437)",Large residential,5367560,566308,National Grid
"10467(40.877047912132, -73.871532500824)",Large Residential,4811979,507691,ConEd
"10465(40.827628067581, -73.822413141353)",Residential,6724287,709450,ConEd
"10007(40.713630519433, -74.009131383706)",Commercial,981522,103556,ConEd
"10018(40.756840774582, -73.996691499813)",Residential,21822,2302,ConEd
"11692(40.59313388562, -73.795402084638)",Small residential,2194609,231544,National Grid
"11372(40.751630739367, -73.883612545283)",Large residential,14227014,1501030,National Grid
"11106(40.761699790013, -73.931663252957)",Residential,1827237,192784,ConEd
"11426(40.737041384952, -73.724156998946)",Commercial,1716958,181149,ConEd
"10457(40.845798371298, -73.898324186812)",Commercial,5354415,564921,ConEd
"11103(40.762868930257, -73.91327185811)",Large Residential,80092,8450,ConEd
"11357(40.786284041475, -73.811232061011)",Residential,6962862,734621,ConEd
"11109(40.744414792409, -73.957702346686)",Commercial,752231,79365,ConEd
"11385(40.701224891615, -73.88334858437)",Industrial,1048061,110576,National Grid
"10308(40.552935295428, -74.151302759814)",Large residential,77333,8159,National Grid
"11105(40.780092072491, -73.90960650024)",Large Residential,23820,2513,ConEd
"11213(40.671225169206, -73.936443366368)",Large residential,10763716,1135632,National Grid
"11370(40.75935377086, -73.8918440004)",Institutional,1231730,129954,National Grid
"10302(40.630833311108, -74.137734298699)",Small residential,3521474,371535,National Grid
"10001(40.750259021437, -73.99688630376)",Commercial,4628579,488341,ConEd
"10460(40.843090348041, -73.87860282506)",Commercial,6492444,684989,ConEd
"11411(40.694293339066, -73.735683291251)",Industrial,4193,442,National Grid
"11211(40.711589765256, -73.958176750756)",Industrial,1046750,110438,National Grid
"11228(40.616540714083, -74.013277847395)",Industrial,543497,57342,National Grid
"11229(40.601233507321, -73.944368541175)",Small residential,12866878,1357528,National Grid
"11215(40.665557251366, -73.979681535574)",Large residential,6712652,708222,National Grid
"10014(40.733586451354, -74.010199604728)",Residential,3950218,416770,ConEd
"11417(40.676363730802, -73.844542755344)",Large residential,287216,30303,National Grid
"11427(40.729310574324, -73.750676021281)",Commercial,141057,14882,National Grid
"11423(40.717222295672, -73.76714149998)",Residential,21201,2237,ConEd
"11377(40.745193764481, -73.90484714408)",Institutional,811937,85664,National Grid
"10019(40.76761164716, -73.991805500224)",Residential,1511255,159446,ConEd
"10012(40.725538020863, -73.997896410591)",Residential,178497,18832,ConEd
"11106(40.761699790013, -73.931663252957)",Commercial,2708112,285721,ConEd
"11415(40.708286075142, -73.828556121568)",Commercial,887,94,ConEd
"11209(40.623387097237, -74.030652953471)",Small residential,9963344,1051189,National Grid
"11428(40.721396964798, -73.741937297268)",Commercial,65563,6917,ConEd
"10312(40.542955977337, -74.180376817236)",Institutional,273950,28903,National Grid
"11105(40.780092072491, -73.90960650024)",Commercial,3603071,380144,ConEd
"10009(40.726649358981, -73.979111485007)",Residential,186224,19648,ConEd
"10002(40.716121467931, -73.985831470246)",Commercial,12107072,1277364,ConEd
"10459(40.825526216162, -73.893131067844)",Large Residential,62003,6542,ConEd
"11224(40.576304656335, -73.999532000401)",Institutional,455120,48018,National Grid
"10471(40.901994423104, -73.903626500562)",Commercial,2240882,236426,ConEd
"10038(40.709359291898, -74.003071862376)",Commercial,1452146,153210,ConEd
"10037(40.813297761083, -73.937282525568)",Commercial,2164822,228401,ConEd
"11234(40.61636866748, -73.927732249743)",Commercial,6157277,649627,National Grid
"11421(40.691764587566, -73.85702228585)",Small residential,7298987,770084,National Grid
"10017(40.752456527447, -73.97297648088)",Large Residential,258733,27298,ConEd
"10470(40.900127971928, -73.87122775026)",Commercial,841945,88830,ConEd
"11236(40.640021493797, -73.901121939926)",Commercial,3108542,327969,National Grid
"11693(40.618303604728, -73.824955315236)",Commercial,948937,100118,National Grid
"11422(40.661613493968, -73.736051726406)",Commercial,519522,54812,National Grid
"11368(40.749678220374, -73.853040688577)",Small residential,11110386,1172208,National Grid
"11370(40.75935377086, -73.8918440004)",Large residential,1074379,113353,National Grid
"11252(40.607934094183, -74.02694266727)",Institutional,301262,31785,National Grid
"10019(40.76761164716, -73.991805500224)",Commercial,2660,281,ConEd
"11385(40.701224891615, -73.88334858437)",Small residential,15255284,1609518,National Grid
"10027(40.811549564461, -73.952900335682)",Residential,331029,34925,ConEd
"10281(40.714330000429, -74.015196999742)",Commercial,34332,3622,ConEd
"11217(40.682312101322, -73.979567188575)",Small residential,4615326,486943,National Grid
"10460(40.843090348041, -73.87860282506)",Large Residential,121201,12787,ConEd
"11216(40.680758670876, -73.949267750906)",Industrial,50669,5346,National Grid
"11426(40.737041384952, -73.724156998946)",Residential,233178,24602,ConEd
"10451(40.820696407114, -73.923841367985)",Residential,697652,73606,ConEd
"10301(40.626785508445, -74.096112910882)",Large residential,3780433,398857,National Grid
"11209(40.623387097237, -74.030652953471)",Large residential,10004300,1055510,National Grid
"11205(40.693882095283, -73.964334507731)",Institutional,566498,59769,National Grid
"10128(40.781770000585, -73.95062814907)",Residential,263835,27836,ConEd
"11357(40.786284041475, -73.811232061011)",Commercial,1271449,134145,ConEd
"10474(40.810882923108, -73.882356362356)",Residential,114041,12032,ConEd
"11214(40.604011809897, -74.000969000119)",Institutional,855968,90309,National Grid
"10026(40.803058121635, -73.953342776048)",Residential,2349135,247847,ConEd
"10473(40.817731470931, -73.860537000082)",Commercial,1408773,148633,ConEd
"11228(40.616540714083, -74.013277847395)",Large residential,761559,80349,National Grid
"11363(40.772398418252, -73.746797887413)",Commercial,151243,15957,ConEd
"11207(40.670802431187, -73.893841150049)",Industrial,1355364,142998,National Grid
"10453(40.852786838342, -73.913426784319)",Residential,1591607,167923,ConEd
"11239(40.64949607998, -73.865524999879)",Large residential,33558083,3540566,National Grid
"11369(40.763413273704, -73.872378898667)",Commercial,1994597,210441,National Grid
"10280(40.709594512277, -74.020224535534)",Commercial,103950,10967,ConEd
"10463(40.881871962821, -73.911207480541)",Residential,1918613,202424,ConEd
"11235(40.578414108824, -73.940260000099)",Large residential,15358828,1620442,National Grid
"10012(40.725538020863, -73.997896410591)",Commercial,3676344,387875,ConEd
"10475(40.874142343794, -73.827068565562)",Residential,9204,971,ConEd
"11218(40.64322700852, -73.976448622106)",Industrial,441018,46530,National Grid
"10466(40.890809730185, -73.846009063068)",Commercial,2343491,247251,ConEd
"11360(40.780701334399, -73.782267336868)",Residential,45219,4771,ConEd
"11224(40.576304656335, -73.999532000401)",Large residential,36143134,3813303,National Grid
"11418(40.696370412365, -73.840310249918)",Large residential,1398053,147502,National Grid
"10281(40.714330000429, -74.015196999742)",Commercial,37094,3914,ConEd
"10305(40.596184688173, -74.075072384883)",Institutional,8441661,890643,National Grid
"11101(40.745702449808, -73.938669029252)",Commercial,7992026,843203,ConEd
"11372(40.751630739367, -73.883612545283)",Industrial,48106,5075,National Grid
"10473(40.817731470931, -73.860537000082)",Residential,233862,24674,ConEd
"11432(40.71311535449, -73.792820999789)",Institutional,1307797,137980,National Grid
"10020(40.759498513146, -73.980074397216)",Commercial,194595,20531,ConEd
"11214(40.604011809897, -74.000969000119)",Industrial,285392,30110,National Grid
"11371(40.775567374635, -73.870865499743)",Institutional,1065320,112397,National Grid
"10004(40.688827825344, -74.019112505837)",Commercial,1726800,182187,ConEd
"11378(40.721453104977, -73.908543500682)",Industrial,2809327,296400,National Grid
"11433(40.698104881735, -73.787574033914)",Large residential,5080122,535981,National Grid
"10454(40.805846930092, -73.916285046518)",Commercial,2249303,237314,ConEd
"11434(40.676945262114, -73.775306901692)",Commercial,2955224,311793,National Grid
"11435(40.701192649122, -73.809796655791)",Commercial,79476,8385,ConEd
"11427(40.729310574324, -73.750676021281)",Large residential,2347279,247651,National Grid
"11358(40.760350968822, -73.796326458199)",Commercial,1898565,200309,ConEd
"11256(40.662351000099, -73.860115000407)",Institutional,277857,29315,National Grid
"10472(40.829730432513, -73.870132131393)",Commercial,1887751,199168,ConEd
"10027(40.811549564461, -73.952900335682)",Commercial,25473,2688,ConEd
"11422(40.661613493968, -73.736051726406)",Large residential,149873,15812,National Grid
"11412(40.698127117473, -73.759235198346)",Large residential,151333,15966,National Grid
"11427(40.729310574324, -73.750676021281)",Large Residential,1587862,167528,ConEd
"10036(40.759346827194, -73.989860554421)",Large Residential,395037,41679,ConEd
"10001(40.750259021437, -73.99688630376)",Residential,1476126,155740,ConEd
"10030(40.818435176043, -73.942765303576)",Commercial,4456113,470145,ConEd
"11104(40.744893366636, -73.920541345307)",Residential,329490,34763,ConEd
"11237(40.704095739827, -73.920994233997)",Industrial,2133783,225126,National Grid
"11356(40.784928096754, -73.841810700403)",Residential,268003,28276,ConEd
"10044(40.761976486226, -73.949999674945)",Commercial,1496982,157940,ConEd
"11374(40.726464917022, -73.861480847563)",Commercial,1938527,204525,National Grid
"11201(40.694678258795, -73.989920868353)",Commercial,13571483,1431867,National Grid
"10065(40.764301213031, -73.963039935445)",Commercial,2130613,224792,ConEd
"11221(40.691288039511, -73.927617927925)",Commercial,1761754,185875,National Grid
"11212(40.662797169953, -73.912984894337)",Small residential,7377894,778409,National Grid
"10314(40.596490302985, -74.165991118795)",Large residential,2046659,215934,National Grid
"10307(40.508004527487, -74.242114281948)",Institutional,163208,17219,National Grid
"11235(40.578414108824, -73.940260000099)",Institutional,2091533,220668,National Grid
"11201(40.694678258795, -73.989920868353)",Industrial,3887016,410102,National Grid
"11430(40.647229326173, -73.786374952542)",Commercial,7251275,765050,National Grid
"11222(40.728253121784, -73.947159783197)",Industrial,1309400,138149,National Grid
"11418(40.696370412365, -73.840310249918)",Commercial,1462567,154309,National Grid
"11423(40.717222295672, -73.76714149998)",Industrial,194292,20499,National Grid
"10036(40.759346827194, -73.989860554421)",Residential,73600,7765,ConEd
"11001(40.721390004945, -73.707396928425)",Residential,703063,74177,ConEd
"10016(40.745242969987, -73.978232985864)",Large Residential,87331,9214,ConEd
