Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
20150,09/09/2014,7.38,16.8,5.77,85,68,1.98,0,0.005
20650,09/09/2014,7.34,16.8,5.83,86,71,2.04,0,0.006
27350,09/09/2014,7.46,16.4,5.53,85,68,1.99,0,0.006
30550,09/09/2014,7.78,18.1,5.74,88,68,2.02,0,0.004
31450,09/09/2014,7.71,17.9,5.72,88,67,2.23,0,0.004
31550,09/09/2014,7.68,17.9,5.74,89,69,2.16,0,0.007
33050,09/09/2014,7.76,17.8,5.6,87,67,2.11,0,0.007
33850,09/09/2014,7.62,17.7,5.64,85,68,2.07,0,0.01
36950,09/09/2014,7.59,17.5,5.67,85,66,2.09,0,0.005
39950,09/09/2014,7.7,17.8,5.61,87,67,2.09,0,0.006
40350,09/09/2014,7.48,17.7,5.76,86,68,2.02,0,0.006
46250,09/09/2014,7.26,16.9,5.99,84,70,2.22,0,0.006
47650,09/09/2014,7.33,17.7,6.38,88,73,2.13,0,0.005
53550,09/09/2014,7.44,16.8,5.87,87,71,2.02,0,0.009
59050,09/09/2014,7.36,16.1,5.64,85,65,2.07,0,0.009
77750,09/09/2014,7.32,17.1,6.22,86,77,2.11,0,0.008
79550,09/09/2014,7.23,16.5,5.83,85,73,2.09,0,0.005
11750,09/27/2014,7.41,,,84,67,2.14,0,0.007
10750,10/07/2014,7.3,16.2,5.76,83,64,2.21,0,0.004
21550,10/07/2014,7.38,16,5.8,83,65,2.04,0,0.007
22250,10/07/2014,7.26,16.5,5.98,84,65,2.03,0,0.007
22950,10/07/2014,7.31,16.2,5.88,83,65,2.03,0,0.008
26850,10/07/2014,7.39,16.4,5.95,84,65,2.01,0,0.007
30150,10/07/2014,7.61,17.6,5.94,85,64,2.02,0,0.005
31050,10/07/2014,7.56,17.8,5.9,85,65,2.06,1,0.016
31650,10/07/2014,7.41,17.5,5.89,85,65,2.04,0,0.005
31950,10/07/2014,7.26,16.2,5.71,84,64,2.2,0,0.008
33550,10/07/2014,7.38,17.4,5.83,84,65,2.06,0,0.005
35750,10/07/2014,7.38,17.5,5.82,86,65,2.11,0,0.006
37450,10/07/2014,7.36,17.5,5.86,85,65,2.12,0,0.005
44450,10/07/2014,7.36,16.4,5.99,83,68,2.13,0,0.011
46150,10/07/2014,7.37,16.3,6.01,83,65,2.2,0,0.006
47550,10/07/2014,7.32,16.4,6.02,83,65,2.04,0,0.008
51450,10/07/2014,7.2,16.1,5.95,83,64,2.1,0,0.006
