Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
24350,02/02/2016,7.23,15.2,6.05,93,41,2.13,0,0.005
10750,04/05/2016,7.44,13.7,5.93,90,47,2.25,0,0.003
33050,06/07/2016,7.56,15.3,5.81,89,59,2.15,0,0.007
30150,01/05/2016,7.36,23.7,8.65,135,47,2.18,0,0.004
77750,03/01/2016,7.41,13.6,5.86,91,45,2.08,0,0.006
10750,01/05/2016,7.26,14.8,6.14,91,46,2.31,0,0.004
31650,01/05/2016,7.41,22.8,7.97,132,46,2.08,0,0.004
36950,03/01/2016,7.56,14.4,5.75,93,41,2.11,0,0.003
47650,06/07/2016,7.52,15.8,6.62,93,65,2.06,0,0.004
24350,05/03/2016,7.46,13.7,5.74,90,53,2.12,0,0.006
39650,02/02/2016,7.33,15,5.95,93,39,2.19,0,0.005
33950,02/02/2016,7.34,70.8,29.4,515,39,2.24,0,0.006
31750,02/02/2016,7.51,51.5,20.6,364,43,2.2,0,0.008
27350,03/01/2016,7.31,13.7,5.62,92,41,2.2,0,0.004
36950,06/07/2016,7.49,15.3,5.88,90,57,2.05,0,0.004
44450,01/05/2016,7.22,15.6,6.09,92,49,2.37,0,0.005
33550,04/05/2016,7.36,16,6.07,101,48,2.11,0,0.004
31650,04/05/2016,7.4,15.6,5.93,98,46,2.1,0,0.004
33850,06/07/2016,7.61,15.2,5.82,90,58,2.07,0,0.007
33950,05/03/2016,7.35,63.3,27.5,493,50,2.2,0,0.004
22950,04/05/2016,7.29,14.3,5.79,95,46,2.29,0,0.005
51450,04/05/2016,7.35,14.4,5.85,94,46,2.26,0,0.006
20650,06/07/2016,7.35,14.7,5.96,90,64,2.06,0,0.006
45250,05/18/2016,7.33,14.3,5.85,89,55,2.15,0,0.006
20650,03/01/2016,7.27,13.4,5.81,92,42,2,0,0.005
45250,02/02/2016,7.32,14.8,6.05,91,50,2.23,0,0.006
11750,06/07/2016,7.4,48.3,21,363,61,2.35,0,0.004
50750,05/03/2016,7.42,14.2,5.92,92,57,2.19,0,0.005
37450,04/05/2016,7.41,15.2,5.91,98,47,2.07,0,0.004
16150,03/01/2016,7.42,13.9,5.77,90,39,2.13,0,0.006
58650,02/02/2016,7.29,15.5,6.35,93,44,2.19,0,0.004
26850,04/05/2016,7.39,14.5,5.9,96,47,2.09,0,0.005
37950,02/02/2016,7.53,16.1,6.02,94,42,2.18,0,0.005
22250,01/05/2016,7.03,15.7,6.2,93,47,2.14,0,0.007
18650,02/02/2016,7.2,44.7,18.6,319,42,2.17,0,0.007
47550,04/05/2016,7.48,14.4,6.09,94,47,2.37,0,0.005
50850,05/03/2016,7.51,14.6,5.96,90,56,2.13,0,0.004
23450,02/02/2016,7.31,15,6,92,42,2.15,0,0.005
46150,04/05/2016,7.49,14.1,5.95,92,46,2.39,0,0.004
33850,03/01/2016,7.45,13.5,5.72,95,40,1.94,0,0.005
50850,02/02/2016,7.27,15,6.16,90,42,2.04,0,0.008
53550,03/01/2016,7.39,13.7,5.63,92,43,2.22,0,0.004
39950,06/07/2016,7.44,15.1,5.79,89,59,2.09,0,0.005
59050,06/07/2016,7.41,14,5.79,87,59,2.1,0,0.005
50750,02/02/2016,7.31,15.1,6.27,93,44,2.22,0,0.008
40350,06/07/2016,7.32,14.5,5.89,87,61,2.04,0,0.008
37950,05/03/2016,7.46,22.3,8.58,143,53,2.01,0,0.004
77650,02/02/2016,7.33,14.9,6.15,90,44,2.17,0,0.008
31450,03/01/2016,7.42,14.6,5.79,94,40,2.2,0,0.003
35750,01/05/2016,7.32,19.4,7.46,118,47,2.18,0,0.007
18650,05/03/2016,7.18,43.3,17.7,329,54,2.08,0,0.006
16150,06/07/2016,7.44,14.4,5.75,86,65,2.22,0,0.004
44450,04/05/2016,7.32,14.2,6.05,93,49,2.11,1,0.009
30550,03/01/2016,7.5,14,5.78,94,44,2.19,0,0.004
26850,01/05/2016,7.19,15.9,6.2,95,47,2.11,0,0.005
21550,04/05/2016,7.33,14.2,6.03,93,47,2.34,0,0.005
30150,04/05/2016,7.23,37.7,15.9,290,45,2.16,0,0.007
47550,01/05/2016,7.42,15.6,6.21,92,47,2.37,0,0.008
30550,06/07/2016,7.59,15.5,5.9,89,60,1.93,0,0.004
39950,03/01/2016,7.48,14.2,5.66,94,40,1.97,0,0.005
77650,05/03/2016,7.32,14,5.98,90,55,2.28,0,0.006
38250,05/03/2016,7.44,18.9,7.62,131,52,2.2,14.6,0.06
31950,04/05/2016,7.6,14.2,5.74,97,44,2.11,0,0.006
46150,01/05/2016,7.2,15.8,6.24,92,49,2.1,0,0.006
37450,01/05/2016,7.49,19.4,7.35,118,46,2.1,0,0.005
22250,04/05/2016,7.34,14.5,5.85,95,47,2.15,0,0.006
76150,04/05/2016,7.31,14.1,5.84,93,47,2.12,0,0.004
52050,05/03/2016,7.37,13.8,5.7,88,54,2.2,0,0.006
50250,02/02/2016,7.21,14.7,6.05,92,41,2.24,0,0.005
31550,06/07/2016,7.38,49,21,367,61,2.37,0,0.01
44350,05/03/2016,7.36,22.7,8.63,147,53,2.07,0,0.007
77750,06/07/2016,7.32,14.8,6.18,89,68,2.15,1,0.006
40350,03/01/2016,7.34,13.4,5.61,90,42,2.2,0,0.006
39650,05/03/2016,7.35,23,8.44,128,52,2.21,0,0.005
31850,05/03/2016,7.51,18.1,7.27,118,73,2.26,0,0.006
32350,05/03/2016,7.53,25.2,8.54,169,52,2.12,0,0.003
22950,01/05/2016,7.38,15.4,6.07,91,45,2.27,0,0.006
79550,06/07/2016,7.37,14.6,5.98,88,63,2.09,0,0.005
50250,05/03/2016,7.38,13.7,5.68,89,52,2.14,0,0.005
20150,03/01/2016,7.26,14.1,5.8,91,41,2.06,0,0.004
31750,05/03/2016,7.4,35.6,14.7,263,53,2.38,0,0.009
15150,02/02/2016,7.47,15.8,6,94,42,2.04,0,0.003
78150,01/05/2016,7.36,15.5,6.09,91,45,2.27,0,0.004
57750,04/05/2016,7.43,14.6,6.29,95,51,2.14,0,0.004
76150,01/05/2016,7.16,15.4,6.14,92,47,2.23,0,0.006
44350,02/02/2016,7.4,15.8,6.04,94,42,2.17,0,0.004
11750,03/01/2016,7.33,57,25.3,460,44,2.3,0,0.004
79550,03/01/2016,7.38,13,5.6,90,42,2.1,0,0.007
31450,06/07/2016,7.57,15.5,5.88,89,57,2.14,0,0.003
33450,05/03/2016,7.38,63.1,27.1,495,49,2.28,0,0.013
31550,03/01/2016,7.29,58.5,25.6,464,44,2.29,0,0.007
53550,06/07/2016,7.43,15.5,6.47,91,66,2.16,0,0.004
51450,01/05/2016,7.42,15.3,6.18,93,47,2.15,0,0.008
78150,04/05/2016,7.46,14.1,5.86,92,45,2.18,0,0.004
38250,06/27/2016,7.64,,,89,62,2.15,0,0.004
15150,05/03/2016,7.45,18.4,6.84,141,51,2.27,0,0.006
33550,01/05/2016,7.45,23.2,8.33,137,46,2.15,0,0.004
57750,01/05/2016,7.42,16.3,6.54,95,49,2.19,0,0.005
58650,05/03/2016,7.45,14.3,6.04,92,58,2.17,0,0.005
47650,03/01/2016,7.7,14.9,6.32,95,47,2.18,0,0.004
22950,04/04/2017,7.36,14.7,6.18,102,43,2.03,0,0.005
47550,04/04/2017,7.25,14.1,6.2,99,47,2.04,0,0.009
27350,06/06/2017,7.21,15,6.1,101,58,1.91,0,0.005
26850,01/04/2017,7.34,17.6,7.1,105,44,1.84,0,0.004
24350,05/02/2017,7.22,14.3,6.66,106,55,2.03,0,0.006
44350,05/02/2017,7.28,15.5,6.64,108,51,2.01,0,0.005
10750,01/04/2017,7.25,15.4,6.34,92,44,2.34,0,0.004
20150,06/06/2017,7.4,15.1,6.13,101,57,2.05,0,0.005
36950,03/07/2017,7.44,17.4,6.93,101,41,2.08,0,0.004
36950,06/06/2017,7.46,15.7,6.01,103,56,2.02,0,0.006
30550,06/06/2017,7.55,15.6,6.19,100,59,2.01,0,0.004
77750,06/06/2017,7.35,15.6,6.28,101,64,2.09,0,0.006
16150,03/07/2017,7.12,15.9,6.75,97,41,2.42,0,0.004
33450,05/02/2017,7.52,15.6,6.54,109,52,2.14,0,0.006
37450,01/04/2017,7.4,35.7,14.1,232,45,2.06,0,0.006
58650,05/02/2017,7.37,15,6.88,105,58,2.21,0,0.005
30550,03/07/2017,7.44,17.4,6.91,103,44,2.04,0,0.004
52050,02/07/2017,7.39,16,6.56,99,43,1.98,0,0.005
51450,04/04/2017,7.14,14.3,5.98,98,42,2.21,0,0.006
15150,02/07/2017,7.4,37.7,15.9,279,40,2.01,0,0.004
38250,02/07/2017,7.3,40.6,16.5,290,40,1.99,0,0.005
21550,04/04/2017,7.4,15,6.33,101,44,1.86,0,0.005
47550,01/04/2017,7.46,,6.64,98,48,2.32,0,0.006
27350,03/07/2017,7.26,16.1,6.85,100,42,2,0,0.004
32350,05/02/2017,7.3,15.6,6.61,109,53,2.05,0,0.004
33050,06/06/2017,7.42,15.6,5.95,102,57,2.13,0,0.006
50850,02/07/2017,7.42,16.1,6.78,99,42,2.15,0,0.004
31550,06/06/2017,7.61,16.1,6.26,103,61,1.96,0,0.005
33850,03/07/2017,7.48,17.2,6.88,104,41,2.11,0,0.004
33550,01/04/2017,7.37,38.9,16.1,262,44,2.14,0,0.005
31850,02/07/2017,7.34,38.1,16.1,274,44,1.89,0,0.004
45250,05/02/2017,7.28,14.4,6.63,105,54,2.22,0,0.007
23450,05/02/2017,7.3,14.4,6.51,105,53,2.06,2,0.016
30150,01/04/2017,7.21,66.7,28.7,482,44,2.32,0,0.005
18650,02/07/2017,7.29,57,25.7,455,41,2.17,0,0.004
57750,01/04/2017,7.4,17,6.68,97,46,2.27,0,0.006
31050,01/04/2017,7.19,36.2,14.8,233,45,2.13,0,0.006
51450,01/04/2017,7.36,16.1,6.33,96,44,2.25,0,0.005
31650,04/04/2017,7.42,15.7,6.28,105,43,2.21,0,0.004
32350,02/07/2017,7.25,53,18.7,421,42,2.3,0,0.002
35750,01/04/2017,7.29,29.5,11.8,181,44,2.19,0,0.007
15150,05/02/2017,7.5,15.3,6.45,107,51,1.93,0,0.004
22250,01/04/2017,7.28,17.5,7.03,104,44,2.17,0,0.005
38250,05/02/2017,7.47,15.4,6.51,107,52,2.09,0,0.006
33950,02/07/2017,7.24,68.2,30.2,535,41,2.11,0,0.003
30150,04/04/2017,7.52,15.4,6.09,104,44,2.01,0,0.003
11750,06/16/2017,7.44,,,100,62,1.82,0,0.004
59050,03/07/2017,7.38,16,6.69,101,41,2.2,0,0.011
33550,04/04/2017,7.35,15.6,6.31,105,43,2.14,0,0.004
20150,03/07/2017,7.32,16.4,6.95,100,43,1.86,0,0.005
76150,01/04/2017,7.21,15.8,6.15,93,44,2.19,0,0.005
24350,02/07/2017,7.27,18.9,8.11,129,41,2.04,0,0.005
46150,04/04/2017,7.25,14,6.3,100,44,2.07,0,0.006
31550,03/07/2017,7.44,17.4,6.92,104,42,2.07,0,0.006
31850,05/02/2017,7.55,15.7,6.53,109,55,2.05,0,0.005
53550,03/07/2017,7.28,16,6.71,101,42,2.23,0,0.004
20650,06/06/2017,7.42,15.2,6.25,99,59,2.04,0,0.005
77650,02/07/2017,7.28,16.1,6.78,101,42,2.22,0,0.005
46250,03/07/2017,7.45,16.4,6.92,101,45,2.16,0,0.004
46250,06/06/2017,7.46,15.1,6.15,100,59,2.15,0,0.005
21550,01/04/2017,7.31,16.3,6.67,97,44,2.02,0,0.006
37950,02/07/2017,7.39,40.7,16.6,291,43,2.01,0,0.003
79550,03/07/2017,7.42,16,6.73,101,46,2.21,0,0.004
31450,03/07/2017,7.5,17.2,6.83,101,40,1.96,0,0.003
78150,04/04/2017,7.19,14.7,6.25,102,44,1.83,0,0.004
77750,03/07/2017,7.44,16.5,6.94,100,48,2.17,0,0.005
33450,02/07/2017,7.25,67.2,30,534,40,2.07,0,0.006
47650,06/06/2017,7.59,16.2,6.74,105,62,2.09,0,0.005
39650,02/07/2017,7.28,40.8,16.6,290,41,1.96,0,0.004
57750,04/04/2017,7.04,14.4,6.37,102,44,2.22,0,0.005
31750,05/02/2017,7.56,15.5,6.55,108,56,2.11,0,0.006
11750,06/06/2017,7.29,15.4,6.23,102,59,1.86,2,0.009
16150,06/06/2017,7.32,14.6,5.97,98,57,2.13,0,0.004
37450,04/04/2017,7.47,15.8,6.36,104,42,2.26,0,0.004
33950,05/02/2017,7.56,15.7,6.55,110,53,2.03,0,0.005
59050,06/06/2017,7.31,14.8,5.95,99,55,2.26,0,0.004
31750,02/07/2017,7.35,45.2,20.3,335,47,2.01,0,0.005
78150,01/04/2017,7.43,16,6.35,94,45,2.26,0,0.004
33850,06/06/2017,7.43,15.7,6.11,101,59,2.03,0,0.005
10750,04/04/2017,7.31,14.8,6.38,101,43,2.13,0,0.003
76150,04/04/2017,7.3,14.6,6.3,101,44,2.24,0,0.004
31450,06/06/2017,7.53,15.6,6.06,99,56,1.9,0,0.004
20650,03/07/2017,7.26,16.3,6.98,103,43,2.12,0,0.004
31950,01/04/2017,7.29,40.1,16.8,269,43,2.28,0,0.005
31650,01/04/2017,7.33,39,15.8,260,44,2.01,0,0.005
45250,02/07/2017,7.28,16.4,6.83,99,44,2.14,0,0.005
44450,04/04/2017,7.22,14.5,6.38,100,46,2.21,0,0.004
44450,01/04/2017,7.3,16.1,6.66,95,45,2.11,0,0.004
50750,02/07/2017,7.33,16.4,6.86,100,46,2.24,0,0.004
52050,05/02/2017,7.2,14.8,6.52,106,56,2.08,0,0.006
44350,02/07/2017,7.28,40.8,16.8,291,42,2.12,0,0.004
50750,05/02/2017,7.42,15,6.97,107,59,2.19,0,0.004
23450,02/07/2017,7.23,17.7,7.37,117,41,1.97,0,0.006
50250,05/02/2017,7.22,14.4,6.64,105,55,2.23,0,0.005
39650,05/02/2017,7.47,15.5,6.65,107,51,2.08,0,0.004
40350,03/07/2017,7.49,17.6,6.79,102,44,2.03,0,0.005
33050,03/07/2017,7.5,17.2,6.84,102,39,2.06,0,0.005
11750,03/07/2017,7.39,17.4,6.96,104,43,2.15,0,0.003
39950,06/06/2017,7.47,15.8,5.91,102,57,2.11,0,0.005
18650,05/02/2017,7.32,14.5,6.48,105,55,2.13,0,0.005
58650,02/07/2017,7.3,16.4,6.86,100,45,2.17,0,0.005
50250,02/07/2017,7.35,15.9,6.6,99,41,1.94,0,0.005
40350,06/06/2017,7.35,15.4,6.2,100,60,2.1,0,0.007
47650,03/07/2017,7.56,17.8,7.32,106,47,2.18,0,0.003
26850,04/04/2017,7.08,14.4,6.24,101,42,1.9,0,0.004
46150,01/04/2017,7.44,16.3,6.77,95,45,2.36,0,0.004
37950,05/02/2017,7.56,15.7,6.56,108,54,2.24,0,0.004
22950,01/04/2017,7.25,23,8.49,133,44,2.07,0,0.006
53550,06/06/2017,7.29,14.7,5.93,98,57,2.25,0,0.006
31050,04/04/2017,7.53,15.7,6.34,105,43,1.96,0,0.008
39950,03/07/2017,7.54,17.3,6.74,104,41,2.05,0,0.004
50850,05/02/2017,7.42,15.2,6.94,108,56,2.2,0,0.005
35750,04/04/2017,7.58,15.7,6.31,106,44,2.07,0,0.006
77650,05/02/2017,7.29,14.8,6.59,105,56,2.15,0,0.006
22250,04/04/2017,7.33,14.9,6.43,103,42,1.95,0,0.005
79550,06/06/2017,7.37,14.7,5.97,99,60,2.06,0,0.006
31950,04/04/2017,7.46,15.8,6.19,106,42,2.25,0,0.004
44350,11/08/2017,7.44,17.8,6.36,92,59,2.02,0,0.005
47650,09/06/2017,7.62,19,6.55,100,70,2.15,0,0.004
23450,11/08/2017,7.35,17.1,6.32,91,60,2.07,0,0.007
59050,09/06/2017,7.46,18.1,5.88,92,67,2.2,0,0.006
20650,12/05/2017,7.39,16.3,6.44,91,52,2.05,0,0.006
33050,12/05/2017,7.32,16.2,6.27,92,49,2.17,0,0.006
39950,09/06/2017,7.51,18.7,5.85,95,66,1.98,0,0.007
50850,08/01/2017,7.48,16.2,6.15,100,68,2.19,0,0.005
24350,08/01/2017,7.36,15.8,5.91,98,63,2.26,0,0.006
36950,09/06/2017,7.56,18.4,5.83,96,65,2.03,0,0.005
35750,07/05/2017,7.45,15.6,5.79,96,64,1.91,0,0.009
50750,11/08/2017,7.57,18.5,7.09,94,62,2.03,0,0.007
76150,07/05/2017,7.36,14.6,5.67,91,64,2.13,0,0.006
30150,07/05/2017,7.46,15.6,5.83,96,64,2.04,0,0.006
57750,07/05/2017,7.43,14.9,5.67,93,63,2.18,0,0.005
10750,07/05/2017,7.33,14.8,5.6,92,61,2.15,0,0.005
18650,11/08/2017,7.41,16.7,6.26,90,60,2.12,0,0.005
22250,10/04/2017,7.5,18.3,6.07,92,66,2.04,0,0.005
31650,10/04/2017,7.55,19.1,5.93,91,66,2.15,0,0.005
46250,09/06/2017,7.34,18,6.05,92,68,2.11,0,0.006
33050,09/06/2017,7.6,18.5,5.8,95,66,1.98,0,0.008
31950,10/27/2017,7.61,,6.55,95,62,2.08,0,0.006
47550,07/05/2017,7.26,15,5.7,93,64,2.07,0,0.008
36950,12/05/2017,7.36,16.6,6.26,93,50,2,0,0.007
33550,07/05/2017,7.54,15.6,5.78,93,64,1.84,0,0.008
30550,12/05/2017,7.47,16.6,6.34,93,52,1.93,0,0.005
39950,12/05/2017,7.35,16.5,6.3,92,50,2.08,0,0.005
23450,08/01/2017,7.35,15.4,5.95,97,64,2.08,0,0.006
27350,09/06/2017,7.37,18,6.08,92,68,1.99,0,0.005
31450,09/06/2017,7.38,18.7,5.86,95,65,1.97,0,0.005
58650,11/08/2017,7.59,19.2,7.32,95,61,1.97,0,0.004
33450,08/01/2017,7.53,15.7,5.68,101,63,1.89,0,0.013
22950,07/05/2017,7.41,14.8,5.69,94,62,2.01,0,0.007
31050,07/05/2017,7.55,15.7,5.82,95,61,1.88,0,0.009
31950,10/04/2017,7.56,18.9,5.9,95,64,1.96,1,0.024
37950,11/08/2017,7.61,18,6.41,94,60,2.02,0,0.005
10750,10/04/2017,7.44,18.2,5.87,89,65,2.14,0,0.005
59050,12/05/2017,7.27,16.4,6.27,91,50,2.11,0,0.005
30150,10/04/2017,7.54,19.3,6.04,96,66,2.06,0,0.005
44350,08/01/2017,7.24,15.9,5.86,100,63,2.01,0,0.005
40350,09/06/2017,7.6,18.7,5.9,96,66,2.05,0,0.006
50750,08/01/2017,7.46,16.2,6.13,102,70,2.15,0,0.004
31750,08/01/2017,7.56,16.7,5.99,100,65,1.97,0,0.007
39650,08/01/2017,7.52,15.5,5.75,100,62,1.92,0,0.006
37950,08/01/2017,7.48,16.3,5.89,99,67,2,0,0.006
44450,10/04/2017,7.34,18.2,5.96,91,69,2.07,0,0.006
32350,11/08/2017,7.62,18,6.38,93,59,2.01,0,0.004
30550,09/06/2017,7.1,18.6,5.98,92,67,2.09,0,0.006
58650,08/01/2017,7.46,16.3,6.15,99,68,2.13,0,0.005
33450,11/08/2017,7.4,17.6,6.22,92,59,2.06,0,0.016
79550,12/05/2017,7.35,16.5,6.32,90,51,2.01,0,0.008
18650,08/01/2017,7.38,16.7,5.9,97,66,2.18,0,0.005
39650,11/08/2017,7.49,17.9,6.4,91,59,2.14,0,0.004
52050,08/01/2017,7.37,15.7,5.98,99,67,2.18,0,0.007
77750,09/06/2017,7.42,18.4,6.16,93,74,2.1,0,0.01
26850,10/04/2017,7.45,18.5,6.13,94,67,1.92,0,0.005
53550,09/06/2017,7.37,17.7,5.77,91,67,2.3,0,0.007
40350,12/05/2017,7.39,16.6,6.34,93,51,2.01,0,0.006
31850,11/08/2017,7.38,17.8,6.35,93,59,2.01,0,0.006
11750,10/06/2017,7.37,,6.64,92,68,1.87,0,0.005
47650,12/05/2017,7.56,18.9,7.26,98,55,1.98,0,0.005
52050,11/08/2017,7.39,17.4,6.44,92,63,2.04,0,0.005
50250,08/01/2017,7.38,16.1,5.72,97,62,2.16,0,0.005
45250,11/08/2017,7.37,17.2,6.4,90,60,2.18,0,0.007
11750,12/05/2017,7.42,16.2,6.43,92,53,2,0,0.004
15150,11/08/2017,7.49,17.2,6.16,91,58,2.08,0,0.005
31850,08/01/2017,7.56,16.2,5.93,101,69,1.97,0,0.006
16150,09/06/2017,7.37,17.4,5.8,91,68,2.11,0,0.005
21550,07/05/2017,7.45,15.2,5.84,94,67,2.07,0,0.007
22950,10/04/2017,7.37,18.2,5.99,92,66,2,0,0.007
77650,11/08/2017,7.47,17.6,6.75,91,60,2.1,0,0.008
50250,11/08/2017,7.33,17,6.36,90,60,2.28,0,0.005
46150,10/04/2017,7.24,18.4,6.01,90,65,2.07,0,0.006
16150,12/05/2017,7.28,15.5,6.21,89,51,2.15,0,0.005
77750,12/16/2017,7.29,,6.54,94,48,2.06,0,0.005
44450,07/05/2017,7.37,14.8,5.84,93,68,2.08,0,0.006
32350,08/01/2017,7.57,15.9,5.93,101,64,1.98,0,0.004
78150,10/04/2017,7.23,18,5.91,90,66,2.01,0,0.015
26850,07/05/2017,7.32,15.1,5.92,95,64,2.11,0,0.006
27350,12/05/2017,7.29,15.8,6.19,89,51,2.04,0,0.005
38250,11/08/2017,7.54,17.6,6.34,91,59,2.06,0,0.007
38250,08/01/2017,7.52,16,5.67,100,62,1.94,0,0.011
20150,12/05/2017,7.47,16.2,6.32,91,51,2.02,0,0.005
33850,12/05/2017,7.34,16.7,6.25,93,51,2.03,0,0.005
53550,12/05/2017,7.31,16.8,6.32,91,52,2.01,0,0.006
15150,08/01/2017,7.56,16.9,5.67,93,62,1.8,0,0.005
31450,12/05/2017,7.47,16.4,6.27,91,50,2.06,0,0.004
33550,10/04/2017,7.57,19.3,5.94,92,65,2.04,0,0.005
33950,11/08/2017,7.42,17.6,6.31,93,59,2.07,0,0.01
79550,09/06/2017,7.33,17.7,5.79,91,68,2.04,0,0.005
20650,09/06/2017,7.44,18.3,6.13,93,68,2.15,0,0.005
51450,10/04/2017,7.36,17.9,5.88,91,65,2.17,0,0.008
37450,10/04/2017,7.55,19,5.91,94,66,2.06,0,0.006
77650,08/01/2017,7.4,16.4,6.17,97,67,2.14,0,0.008
31950,07/05/2017,7.52,15.5,5.74,95,62,2.09,0,0.006
78150,07/05/2017,7.27,14.8,5.61,92,62,2,0,0.008
31550,09/06/2017,7.3,18.7,5.88,96,67,2.03,0,0.006
35750,10/04/2017,7.55,19,5.88,95,66,1.98,0,0.007
33850,09/06/2017,7.56,18.7,5.83,95,67,1.94,0,0.006
11750,09/06/2017,7.42,18.3,6.04,93,68,1.96,3,0.008
46150,07/05/2017,7.21,14.8,5.85,94,64,2.04,0,0.006
33950,05/01/2018,7.42,16.1,6.51,108,51,2.01,0,0.009
47550,01/03/2018,7.34,16.9,6.39,93,42,2.11,0,0.006
33950,08/01/2017,7.53,15.8,5.69,101,63,1.94,0,0.012
45250,08/01/2017,7.32,15.6,6.38,99,71,2.14,0,0.007
76150,10/04/2017,7.42,17.9,5.96,90,68,2.04,0,0.006
37450,07/05/2017,7.48,15.6,5.66,96,67,2.07,0,0.005
77750,12/05/2017,7.42,17.4,6.63,92,54,1.95,2,0.049
22250,07/05/2017,7.37,15.1,5.86,93,63,2.06,0,0.007
50850,11/08/2017,7.41,17.6,6.55,92,61,2.09,0,0.008
31050,10/04/2017,7.56,19.2,5.93,96,64,2.01,0,0.011
21550,10/04/2017,7.43,18.6,6.08,92,67,2.05,0,0.007
46250,12/05/2017,7.48,17.4,6.73,93,53,2.01,0,0.005
24350,11/08/2017,7.48,17.1,6.34,92,60,2.06,0,0.005
57750,10/04/2017,7.47,18.3,6.02,91,66,2.15,0,0.006
31550,12/05/2017,7.47,16.4,6.27,92,51,2.05,0,0.007
31750,11/08/2017,7.54,18,6.45,93,59,2.03,0,0.007
51450,07/05/2017,7.43,14.6,5.64,92,61,2.1,0,0.007
31650,07/05/2017,7.47,15.5,5.83,92,64,1.81,0,0.005
47550,10/04/2017,7.28,18.6,6.14,92,67,2.07,0,0.008
20150,09/06/2017,7.51,18,5.99,93,67,1.95,0,0.005
57750,01/03/2018,7.34,16.6,6.34,93,42,2.18,0,0.004
50250,05/01/2018,7.18,14.2,6.58,104,48,2.47,0,0.005
31950,04/03/2018,7.46,16.5,6.59,109,42,2.04,0,0.004
23450,05/01/2018,7.2,14.5,6.43,105,49,2.13,0,0.006
10750,01/03/2018,7.34,16.6,6.11,91,41,2.02,0,0.004
30150,04/03/2018,7.44,16.7,6.64,109,43,1.97,0,0.003
37450,01/03/2018,7.5,17,6.23,95,40,2,0,0.005
37950,05/01/2018,7.4,15.7,6.57,108,50,2.2,0,0.004
77650,02/06/2018,7.45,16.3,6.47,92,39,2.15,0,0.006
31750,05/01/2018,7.4,15.9,6.57,109,51,1.96,0,0.006
31550,06/05/2018,7.41,59,25.1,466,59,2.16,0,0.013
52050,02/06/2018,7.23,16.6,6.47,93,42,2.08,0,0.005
35750,04/03/2018,7.48,16.5,6.61,108,44,2.01,0,0.005
30550,06/05/2018,7.48,15.4,5.94,100,57,2.16,0,0.005
79550,06/05/2018,7.32,14.4,5.83,97,59,2.1,0,0.009
57750,04/03/2018,7.36,16.9,7.16,108,46,2.1,0,0.004
20650,03/06/2018,7.34,14.8,6,90,42,2.16,0,0.005
32350,02/06/2018,7.34,17.1,6.12,95,37,2,0,0.004
38250,05/01/2018,7.43,15.7,6.48,108,49,2.12,0,0.013
20150,06/05/2018,7.39,14.7,5.92,98,57,2,0,0.005
31850,05/01/2018,7.54,16,6.51,109,50,1.99,0,0.004
45250,02/06/2018,7.39,16.3,6.44,88,40,2.26,0,0.005
58650,02/06/2018,7.32,17.1,6.66,94,43,2.17,0,0.004
36950,06/05/2018,7.44,15.4,5.91,100,56,2.06,0,0.004
45250,05/01/2018,7.31,14.2,6.69,102,51,2.4,0,0.007
77750,03/06/2018,7.33,14.7,6.13,89,46,2.15,0,0.005
22950,04/03/2018,7.19,15.6,6.55,107,43,2.04,0,0.005
33450,02/06/2018,7.48,17.1,6.14,95,39,2.08,0,0.005
39650,02/06/2018,7.43,17,6.18,94,38,2.32,0,0.004
50850,02/06/2018,7.37,17,6.65,93,41,2.17,1,0.005
22250,01/03/2018,7.32,16.8,6.25,93,40,2.31,0,0.005
77750,06/05/2018,7.36,14.9,6.08,98,64,2.18,0,0.007
78150,04/03/2018,7.31,15.8,6.61,104,42,1.94,0,0.016
31050,01/03/2018,7.43,17.3,6.22,93,42,2.04,0,0.006
15150,05/01/2018,7.41,15.6,6.5,108,47,2.03,0,0.004
36950,03/06/2018,7.42,15.7,6,94,39,2.05,0,0.004
18650,02/06/2018,7.32,16.2,6.12,92,38,2.07,0,0.004
47650,03/06/2018,7.48,16.9,6.86,101,46,2.2,0,0.003
10750,04/03/2018,7.41,15.7,6.34,104,42,2.48,0,0.004
33450,05/01/2018,7.4,15.9,6.55,108,51,1.98,0,0.009
46250,03/06/2018,7.29,14.8,6.08,89,43,2.22,0,0.004
21550,04/03/2018,7.27,15.8,6.5,106,44,1.9,0,0.007
31750,02/06/2018,7.37,17,6.18,94,39,1.95,0,0.008
31650,01/03/2018,7.33,17.3,6.24,93,40,2.47,0,0.004
16150,06/05/2018,7.36,14.4,5.83,97,57,2.11,0,0.005
31850,02/06/2018,7.34,17.2,6.2,95,44,1.99,0,0.008
20150,03/06/2018,7.3,14.8,6.1,89,41,2.11,0,0.004
11750,03/06/2018,7.37,15,6.1,89,43,2.34,0,0.004
33050,03/06/2018,7.36,15.4,6.07,95,40,2.05,0,0.004
44350,02/06/2018,7.37,17.3,6.17,94,40,2.05,0,0.004
58650,05/01/2018,7.25,15.1,6.97,108,55,2.1,0,0.006
51450,01/03/2018,7.39,16.5,6.24,93,43,2.32,0,0.005
