CMWD11CD,CMWD11NM,CMWD11NMW,FID
E36000310,Chellaston,,211
E36000311,Darley,,212
E36000312,Derwent,,213
E36000313,Littleover,,214
E36000314,Mackworth,,215
E36000315,Mickleover,,216
E36000316,Normanton,,217
E36000317,Oakwood,,218
E36000318,Sinfin,,219
E36000319,Spondon,,220
E36000320,Abbey,,221
E36000321,Aylestone,,222
E36000322,Beaumont Leys,,223
E36000323,Belgrave,,224
E36000324,Braunstone Park and Rowley Fields,,225
E36000325,Castle,,226
E36000326,Charnwood,,227
E36000327,Coleman,,228
E36000328,Evington,,229
E36000329,Eyres Monsell,,230
E36000330,Fosse,,231
E36000331,Freemen,,232
E36000332,Humberstone and Hamilton,,233
E36000333,Knighton,,234
E36000334,Latimer,,235
E36000335,New Parks,,236
E36000336,Rushey Mead,,237
E36000337,Spinney Hills,,238
E36000338,Stoneygate,,239
E36000339,Thurncourt,,240
E36000340,Westcotes,,241
E36000341,Western Park,,242
E36000342,Braunston and Belton,,243
E36000343,Cottesmore,,244
E36000344,Exton,,245
E36000345,Greetham,,246
E36000346,Ketton,,247
E36000347,Langham,,248
E36000348,Lyddington,,249
E36000349,Martinsthorpe,,250
E36000350,Normanton,,251
E36000352,Oakham North West,,252
E36000353,Oakham South East,,253
E36000354,Oakham South West,,254
E36000355,Ryhall and Casterton,,255
E36000356,Uppingham,,256
E36000357,Whissendine,,257
E36000358,Arboretum,,258
E36000359,Aspley,,259
E36000360,Basford,,260
E36000361,Berridge,,261
E36000362,Bestwood,,262
E36000363,Bilborough,,263
E36000364,Bridge,,264
E36000365,Bulwell,,265
E36000366,Bulwell Forest,,266
E36000367,Clifton North,,267
E36000368,Clifton South,,268
E36000369,Dales,,269
E36000370,Dunkirk and Lenton,,270
E36000371,Leen Valley,,271
E36000372,Mapperley,,272
E36000373,Radford and Park,,273
E36000374,Sherwood,,274
E36000375,St Ann's,,275
E36000376,Wollaton East and Lenton Abbey,,276
E36000377,Wollaton West,,277
E36000378,Aylestone,,278
E36000379,Backbury,,279
E36000380,Belmont,,280
E36000381,Bircher,,281
E36000382,Bringsty,,282
