Births between the 1 January to 31 December 2007,,,,
,,,,
Breed Type,,,Sex,Number of Births
CHAROLAIS,,,Female,"13,479"
,,,Male,"13,764"
CHAROLAIS X,,,Female,"138,687"
,,,Male,"143,796"
CHIANINA,,,Female,2
,,,Male,1
CHIANINA X,,,Female,50
,,,Male,50
CHILLINGHAM,,,Female,3
,,,Male,5
CHILLINGHAM X,,,Female,1
,,,Male,3
CROSS BREED BEEF,,,Female,136
,,,Male,132
CROSS BREED DAIRY,,,Female,523
,,,Male,212
DAIRY SHORTHORN,,,Female,"1,161"
,,,Male,639
DAIRY SHORTHORN X,,,Female,796
,,,Male,469
DANISH RED,,,Female,49
,,,Male,31
DANISH RED X,,,Female,188
,,,Male,141
DEVON,,,Female,"2,969"
,,,Male,"2,973"
DEVON X,,,Female,"2,551"
,,,Male,"2,610"
DEXTER,,,Female,"2,996"
,,,Male,"3,163"
DEXTER X,,,Female,192
,,,Male,208
FLECKVIEH,,,Female,18
,,,Male,17
FLECKVIEH CROSS,,,Female,57
,,,Male,40
FRISONA ESPAGNOLA,,,Female,1
,,,Male,3
FRISONA ESPAGNOLA X,,,Female,1
,,,Male,1
GALLOWAY,,,Female,"2,003"
,,,Male,"1,939"
GALLOWAY X,,,Female,476
,,,Male,507
GASCONNE,,,Female,34
,,,Male,32
GASCONNE X,,,Female,26
,,,Male,26
GELBVIEH,,,Female,222
,,,Male,218
GELBVIEH X,,,Female,820
,,,Male,857
GLOUCESTER,,,Female,169
,,,Male,213
GLOUCESTER X,,,Female,76
,,,Male,84
GUERNSEY,,,Female,"2,090"
,,,Male,"1,107"
GUERNSEY X,,,Female,113
,,,Male,36
HEREFORD,,,Female,"7,980"
,,,Male,"8,266"
HEREFORD X,,,Female,"39,003"
,,,Male,"40,478"
HIGHLAND,,,Female,"3,428"
,,,Male,"3,326"
HIGHLAND X,,,Female,393
,,,Male,410
HOLSTEIN,,,Female,"42,725"
,,,Male,"27,164"
HOLSTEIN FRIESIAN,,,Female,"253,990"
,,,Male,"213,026"
HOLSTEIN FRIESIAN X,,,Female,"15,857"
,,,Male,"15,238"
HOLSTEIN X,,,Female,"2,586"
,,,Male,"2,261"
IRISH MOILED,,,Female,99
,,,Male,88
IRISH MOILED X,,,Female,26
,,,Male,50
JERSEY,,,Female,"11,260"
,,,Male,"2,472"
JERSEY X,,,Female,"6,298"
,,,Male,"1,978"
KERRY,,,Female,11
,,,Male,16
KERRY X,,,Female,1
LIMOUSIN,,,Female,"39,373"
,,,Male,"39,861"
LIMOUSIN X,,,Female,"279,200"
,,,Male,"284,417"
LINCOLN RED,,,Female,848
,,,Male,794
LINCOLN RED X,,,Female,533
,,,Male,570
LONGHORN,,,Female,"1,571"
,,,Male,"1,611"
LONGHORN X,,,Female,582
,,,Male,574
LUING,,,Female,"1,555"
,,,Male,"1,543"
LUING X,,,Female,535
,,,Male,518
MAINE ANJOU,,,Female,21
,,,Male,16
MAINE ANJOU X,,,Female,108
,,,Male,115
MARCHIGIANA,,,Female,2
,,,Male,2
MARCHIGIANA X,,,Female,38
,,,Male,37
MEUSE RHINE ISSEL,,,Female,"1,199"
,,,Male,"1,397"
MEUSE RHINE ISSEL X,,,Female,"1,792"
,,,Male,"2,037"
MONTBELIARDE,,,Female,"1,160"
,,,Male,"1,141"
MONTBELIARDE X,,,Female,"3,770"
,,,Male,"4,013"
MURRAY GREY,,,Female,205
,,,Male,226
MURRAY GREY X,,,Female,213
,,,Male,185
NORMANDE,,,Female,86
,,,Male,58
NORMANDE X,,,Female,102
,,,Male,112
NORWEGIAN RED,,,Female,59
,,,Male,51
NORWEGIAN RED X,,,Female,"1,077"
,,,Male,910
OLD ENGLISH,,,Male,1
OLD ENGLISH X,,,Female,2
,,,Male,7
OTHER DAIRY,,,Female,3
,,,Male,4
PARTHENAIS,,,Female,69
,,,Male,61
PARTHENAIS X,,,Female,491
,,,Male,466
PIEMONTESE,,,Female,88
,,,Male,107
PIEMONTESE X,,,Female,738
,,,Male,726
RED & WHITE FRIESIAN,,,Female,59
,,,Male,48
RED POLL,,,Female,920
,,,Male,854
RED POLL X,,,Female,398
,,,Male,394
REGGIANA X,,,Male,1
RIGGIT GALLOWAY,,,Female,7
,,,Male,4
RIGGITGALLOWAY CROSS,,,Male,3
ROMAGNOLA,,,Female,11
,,,Male,7
ROMAGNOLA X,,,Female,45
,,,Male,70
ROTEBUNDE,,,Female,1
ROTEBUNDE X,,,Female,2
,,,Male,1
SALERS,,,Female,"1,403"
,,,Male,"1,416"
SALERS X,,,Female,"5,815"
,,,Male,"5,690"
SHETLAND,,,Female,216
,,,Male,225
SHETLAND X,,,Female,66
,,,Male,71
SHORTHORN,,,Female,"1,666"
,,,Male,"1,921"
SHORTHORN X,,,Female,"4,743"
,,,Male,"4,721"
SIMMENTAL,,,Female,"12,680"
,,,Male,"13,154"
SIMMENTAL X,,,Female,"88,198"
,,,Male,"92,623"
SOUTH DEVON,,,Female,"6,929"
,,,Male,"6,897"
SOUTH DEVON X,,,Female,"6,780"
,,,Male,"6,756"
STABILISER,,,Female,846
,,,Male,785
STABILISER X,,,Female,"4,006"
,,,Male,"4,166"
SUSSEX,,,Female,"1,547"
,,,Male,"1,615"
SUSSEX X,,,Female,"1,563"
,,,Male,"1,649"
SWEDISH RED & WHITE,,,Female,431
,,,Male,299
SWEDISH RED&WHITE X,,,Female,"4,221"
,,,Male,"3,320"
SWISS BRAUNVIEH,,,Female,7
,,,Male,4
SWISS BRAUNVIEH X,,,Female,4
,,,Male,2
SWISS GREY,,,Female,2
,,,Male,1
SWISS GREY X,,,Male,1
SWISS ORIG BRAUNV X,,,Female,1
,,,Male,2
VAYNOL,,,Female,3
,,,Male,5
WAGYU,,,Female,23
,,,Male,19
WAGYU CROSS,,,Female,11
,,,Male,13
WATER BUFFALO,,,Female,518
,,,Male,540
WELSH BLACK,,,Female,"5,064"
,,,Male,"5,175"
WELSH BLACK X,,,Female,"1,881"
,,,Male,"1,990"
WELSH WHITE,,,Female,21
,,,Male,25
WELSH WHITE X,,,Female,13
,,,Male,13
WHITE GALLOWAY,,,Female,100
,,,Male,87
WHITE GALLOWAY X,,,Female,4
,,,Male,5
WHITE PARK,,,Female,361
,,,Male,316
WHITE PARK X,,,Female,68
,,,Male,69
WHITEBRED S/HORN X,,,Female,602
,,,Male,603
WHITEBRED SHORTHORN,,,Female,83
,,,Male,94
YAK,,,Male,1
ZEBU,,,Female,4
,,,Male,1
Totals,,,,"2,665,928"
