Births between the 1 January to 31 December 2007,,,,
,,,,
Breed Type,,,Sex,Number of Births
ABERDEEN ANGUS,,,Female,"20,478"
,,,Male,"21,320"
ABERDEEN ANGUS X,,,Female,"89,621"
,,,Male,"93,749"
ANGLER ROTVIEH,,,Female,4
,,,Male,4
AUBRAC,,,Female,28
,,,Male,21
AUBRAC X,,,Female,1
,,,Male,2
AUSTRALIAN LOWLINE,,,Female,2
,,,Male,3
AYRSHIRE,,,Female,"7,338"
,,,Male,"4,064"
AYRSHIRE X,,,Female,"1,284"
,,,Male,723
BAZADAISE,,,Female,228
,,,Male,210
BAZADAISE X,,,Female,"1,586"
,,,Male,"1,597"
BEEF SHORTHORN,,,Female,"1,972"
,,,Male,"2,120"
BEEF SHORTHORN X,,,Female,"2,857"
,,,Male,"2,742"
BELGIAN BLUE,,,Female,"7,686"
,,,Male,"8,055"
BELGIAN BLUE X,,,Female,"82,628"
,,,Male,"87,984"
BELTED GALLOWAY,,,Female,"1,018"
,,,Male,"1,008"
BELTED GALLOWAY X,,,Female,336
,,,Male,362
BELTED WELSH BLACK,,,Female,21
,,,Male,24
BELTED WELSH BLACK X,,,Female,9
,,,Male,12
BISON,,,Female,39
,,,Male,37
BLONDE D'AQUITAINE,,,Female,"3,194"
,,,Male,"3,353"
BLONDE D'AQUITAINE X,,,Female,"31,826"
,,,Male,"31,942"
BLUE ALBION,,,Female,39
,,,Male,36
BLUE ALBION X,,,Female,32
,,,Male,30
BLUE GREY,,,Female,388
,,,Male,348
BLUE GREY X,,,Female,9
,,,Male,17
BRAHMAN,,,Male,1
BRAHMAN X,,,Female,2
,,,Male,2
BRETONNE PIE-NOIRE X,,,Male,1
BRITISH FRIESIAN,,,Female,"47,672"
,,,Male,"50,807"
BRITISH FRIESIAN X,,,Female,"8,598"
,,,Male,"9,102"
BRITISH HOLSTEIN,,,Female,"1,836"
,,,Male,"1,547"
BRITISH HOLSTEIN X,,,Female,469
,,,Male,452
BRITISH WHITE,,,Female,625
,,,Male,585
BRITISH WHITE X,,,Female,312
,,,Male,288
BROWN SWISS,,,Female,"1,081"
,,,Male,845
BROWN SWISS X,,,Female,"2,029"
,,,Male,"1,732"
