Jan-09,,,,,,,,,
,,,,,,,,,
EU Import,F,Non Dairy,0,13,4,5,0,0,22
Back Capture,F,Dairy,265,0,33,0,85,0,383
Back Capture,M,Dairy,1,0,0,0,0,0,1
Back Capture,F,Non Dairy,517,0,197,0,98,0,812
Back Capture,M,Non Dairy,13,0,1,0,1,0,15
Birth Application,F,Dairy,16,0,2,0,5,0,23
Birth Application,F,Non Dairy,11,0,0,0,2,0,13
Birth Application,M,Non Dairy,1,0,0,0,0,0,1
Temporary Calf Passport (PPAF),F,Dairy,0,0,0,0,1,0,1
Temporary Calf Passport (PPAF),F,Non Dairy,5,0,2,0,0,0,7
Total,,,830,15,240,5,192,0,"1,282"
,,,,,,,,,
Apr-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
Back Capture,F,Dairy,232,0,44,0,59,0,335
Back Capture,F,Non Dairy,572,1,220,1,115,0,909
Back Capture,M,Non Dairy,12,0,3,0,2,0,17
Birth Application,F,Dairy,20,0,0,0,7,0,27
Birth Application,F,Non Dairy,11,0,5,0,0,0,16
Birth Application,M,Non Dairy,1,0,1,0,0,0,2
EU Import,F,Dairy,1,0,0,0,0,0,1
EU Import,F,Non Dairy,5,4,6,2,0,0,17
EU Import,M,Non Dairy,0,0,1,0,0,0,1
Register by Death,M,Dairy,1,0,0,0,0,0,1
Temporary Calf Passport (PPAF),F,Dairy,0,0,0,0,1,0,1
Temporary Calf Passport (PPAF),F,Non Dairy,5,0,3,0,1,0,9
Total,,,860,5,283,3,185,0,"1,336"
,,,,,,,,,
May-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,1,0,0,0,1,0,2
3rd Country Import,F,Non Dairy,2,0,0,0,0,0,2
Back Capture,F,Dairy,233,1,39,0,51,0,324
Back Capture,F,Non Dairy,489,2,225,0,104,0,820
Back Capture,M,Non Dairy,7,0,5,0,2,0,14
Birth Application,F,Dairy,19,0,2,0,4,0,25
Birth Application,F,Non Dairy,8,0,5,0,3,0,16
Birth Application,M,Non Dairy,1,0,0,0,2,0,3
EU Import,F,Dairy,1,1,0,0,0,0,2
EU Import,F,Non Dairy,1,3,11,6,0,0,21
Temporary Calf Passport (PPAF),F,Non Dairy,2,0,0,0,2,0,4
Total,,,764,7,287,6,169,0,"1,233"
,,,,,,,,,
Jun-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,2,0,0,0,0,0,2
Back Capture,F,Dairy,181,0,17,0,37,0,235
Back Capture,F,Non Dairy,286,0,129,0,59,0,474
Back Capture,M,Non Dairy,5,0,1,0,4,0,10
Birth Application,F,Dairy,11,0,1,0,4,0,16
Birth Application,F,Non Dairy,7,0,3,0,1,0,11
Birth Application,M,Non Dairy,2,0,0,0,1,0,3
EU Import,F,Non Dairy,1,2,3,6,0,0,12
Temporary Calf Passport (PPAF),F,Non Dairy,1,0,0,0,0,0,1
Total,,,496,2,154,6,106,0,764
,,,,,,,,,
Jul-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
Back Capture,F,Dairy,211,1,19,0,54,0,285
Back Capture,F,Non Dairy,264,0,85,0,54,0,403
Back Capture,M,Non Dairy,8,0,1,0,6,0,15
Birth Application,F,Dairy,19,0,1,0,2,0,22
Birth Application,F,Non Dairy,9,0,5,0,1,0,15
EU Import,F,Dairy,1,0,0,0,0,0,1
EU Import,F,Non Dairy,1,0,3,0,0,0,4
Temporary Calf Passport (PPAF),F,Non Dairy,3,0,0,0,0,0,3
Total,,,516,1,114,0,117,0,748
,,,,,,,,,
Aug-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
Back Capture,F,Dairy,178,1,26,0,37,0,242
Back Capture,F,Non Dairy,259,0,95,0,44,0,398
Back Capture,M,Dairy,1,0,0,0,0,0,1
Back Capture,M,Non Dairy,8,0,2,0,3,0,13
Birth Application,F,Dairy,17,0,1,0,2,0,20
Birth Application,F,Non Dairy,5,0,2,0,0,0,7
EU Import,F,Dairy,2,0,1,0,0,0,3
EU Import,F,Non Dairy,1,2,2,5,0,0,10
Temporary Calf Passport (PPAF),F,Dairy,2,0,0,0,0,0,2
Temporary Calf Passport (PPAF),F,Non Dairy,2,0,1,0,1,0,4
Total,,,475,3,130,5,87,0,700
,,,,,,,,,
Sep-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,1,0,0,0,0,0,1
Back Capture,F,Dairy,236,0,23,0,57,0,316
Back Capture,F,Non Dairy,316,0,125,0,49,0,490
Back Capture,M,Dairy,1,0,0,0,0,0,1
Back Capture,M,Non Dairy,6,0,1,0,3,0,10
Birth Application,F,Dairy,17,0,1,0,5,0,23
Birth Application,F,Non Dairy,5,1,4,0,0,0,10
Birth Application,M,Non Dairy,0,0,1,0,0,0,1
EU Import,F,Dairy,0,0,1,0,1,0,2
EU Import,F,Non Dairy,4,9,4,6,0,0,23
Temporary Calf Passport (PPAF),F,Non Dairy,4,0,0,0,2,0,6
Total,,,590,10,160,6,117,0,883
,,,,,,,,,
  Oct 2009,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
Back Capture,F,Dairy,259,0,26,0,49,0,334
Back Capture,F,Non Dairy,339,1,171,0,80,0,591
Back Capture,M,Non Dairy,18,0,5,0,2,0,25
Birth Application,F,Dairy,17,0,1,0,1,0,19
Birth Application,F,Non Dairy,8,0,1,0,0,0,9
EU Import,F,Dairy,2,0,0,0,0,0,2
EU Import,F,Non Dairy,3,7,4,5,0,0,19
Total ,,,646,8,208,5,132,0,999
,,,,,,,,,
   Nov 2009,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,1,0,0,0,0,0,1
3rd Country Import,F,Non Dairy,1,0,1,0,0,0,2
Back Capture,F,Dairy,302,1,24,0,67,0,394
Back Capture,F,Non Dairy,591,0,244,1,103,0,939
Back Capture,M,Dairy,1,0,0,0,0,0,1
Back Capture,M,Non Dairy,21,0,2,0,2,0,25
Birth Application,F,Dairy,16,0,5,0,2,0,23
Birth Application,F,Non Dairy,3,0,9,0,1,0,13
Birth Application,M,Non Dairy,2,0,0,0,0,0,2
EU Import,F,Dairy,,0,0,0,1,0,1
EU Import,F,Non Dairy,3,6,3,6,0,0,18
Temporary Calf Passport (PPAF),F,Dairy,0,0,0,0,1,0,1
Temporary Calf Passport (PPAF),F,Non Dairy,0,1,1,0,0,0,2
Total ,,,941,8,289,7,177,0,"1,422"
,,,,,,,,,
Dec-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Non Dairy,1,0,0,0,0,0,1
Back Capture,F,Dairy,258,0,25,0,54,0,337
Back Capture,F,Non Dairy,547,0,200,1,102,0,850
Back Capture,M,Non Dairy,17,0,7,0,9,0,33
Back Capture,M,Dairy,1,0,0,0,0,0,1
Birth Application,F,Dairy,19,0,0,0,5,0,24
Birth Application,F,Non Dairy,9,0,2,0,2,0,13
Birth Application,M,Dairy,1,0,0,0,2,0,3
Birth Application,M,Non Dairy,1,0,0,0,0,0,1
EU Import,F,Non Dairy,1,8,1,12,0,0,22
EU Import,M,Non Dairy,0,0,1,0,1,0,2
Temporary Calf Passport (PPAF),F,Dairy,0,0,0,0,1,0,1
Temporary Calf Passport (PPAF),F,Non Dairy,3,0,1,0,0,0,4
Temporary Calf Passport (PPAF),M,Non Dairy,1,0,0,0,0,0,1
Total,,,859,8,237,13,176,0,"1,293"
