Jan-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Non Dairy,1,0,0,0,0,0,1
EU Import,F,Dairy,1,0,0,0,0,0,1
EU Import,F,Non Dairy,3,15,5,7,1,0,31
Back Capture,F,Dairy,276,1,36,0,66,0,379
Back Capture,M,Dairy,2,0,0,0,0,0,2
Back Capture,F,Non Dairy,482,1,150,0,85,0,718
Back Capture,M,Non Dairy,17,0,3,0,2,0,22
Birth Application,F,Dairy,21,0,1,0,6,0,28
Birth Application,F,Non Dairy,2,0,3,0,0,0,5
Temporary Calf Passport (PPAF),F,Non Dairy,2,0,0,0,2,0,4
Total ,,,807,17,198,7,162,0,"1,191"
,,,,,,,,,
Feb-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,1,0,0,0,0,0,1
3rd Country Import,F,Non Dairy,1,0,0,0,0,0,1
EU Import,F,Dairy,0,1,,,1,0,2
EU Import,F,Non Dairy,0,12,3,6,0,0,21
EU Import,M,Non Dairy,0,0,1,1,0,0,2
Back Capture,F,Dairy,234,0,28,0,59,0,321
Back Capture,F,Non Dairy,435,5,121,0,84,0,645
Back Capture,M,Non Dairy,19,0,4,0,2,0,25
Birth Application,F,Dairy,19,0,2,0,3,0,24
Birth Application,F,Non Dairy,13,0,8,0,0,0,21
Temporary Calf Passport (PPAF),F,Non Dairy,1,0,0,0,1,0,2
Total,,,723,18,167,7,150,0,"1,065"
,,,,,,,,,
Mar-09,,,,,,,,,
,,,,,,,,,
Application type,Sex,Breed Type,Country of Death,,,,,,Totals
,,,England,,Scotland,,Wales,,
,,,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,Agricultural Holding,Slaughterhouse,
3rd Country Import,F,Dairy,0,1,0,0,0,0,1
3rd Country Import,F,Non Dairy,0,1,,0,0,0,1
EU Import,F,Dairy,1,0,1,0,0,0,2
