Tier 1,Tier 2,Tier 3,"Taxonomy Use
(Dec 2019)","Dec 2019
Term Use
(Software)","Dec 2019
Term Use
(T&I)","Dec 2019
Term Use
(Pubs)","Dec 2019
Term Use 
(Events, News, Industry Impacts, Blog)","Dec 2019
Term Use
(Projects & Programs)","Taxonomy Use
(Mar 2019)","Taxonomy Use
(Aug 2018)",Taxonomy Term Use (in Feb 2018),Taxonomy Term Use (in August 2017),Taxonomy Term Use (in June 2017)
.,Interoperability testing,.,10,0,0,5,4,1,6,5,6,4,1
.,Mobile,.,20,0,0,10,3,7,15,12,18,19,17
.,Networking,.,843,5,0,759,52,27,824,820,827,813,806
.,.,Mobile and Wireless Networking,44,1,0,36,4,3,16,13,8,4,0
.,.,Network Management and Monitoring,6,2,0,1,2,1,6,5,5,5,0
.,.,Network Modeling and Analysis,28,0,0,18,4,6,21,18,18,16,0
.,.,Network Security and Robustness,27,3,0,14,4,6,24,22,19,18,0
.,.,Network Test and Measurement,14,4,0,0,4,6,13,13,13,12,0
.,.,Next Generation Networks,34,4,0,13,6,11,25,22,23,18,0
.,.,Protocol Design and Standardization,24,4,0,11,4,5,21,20,19,17,0
.,.,Software Defined and Virtual networks,12,0,0,9,1,2,9,9,8,4,0
.,Privacy,.,27,0,0,2,25,0,14,9,16,13,10
.,Software research,.,38,0,0,20,12,6,35,33,95,92,87
.,.,Software assurance,13,0,0,13,0,0,11,10,10,7,6
.,.,Software performance,3,0,0,3,0,0,2,2,5,3,3
.,.,Software testing,163,0,0,146,10,7,158,156,178,176,172
.,Usability and human factors,.,25,0,0,20,5,0,14,6,26,27,24
.,.,Accessibility,0,0,0,0,0,0,0,0,8,8,8
.,Video analytics,.,6,0,0,5,1,0,4,3,4,3,3
.,Visualization research,.,56,3,0,40,9,4,53,50,144,139,133
.,Voting systems,.,50,0,0,24,25,1,46,46,398,396,393
Infrastructure,.,.,51,0,0,5,31,15,44,38,40,35,32
Manufacturing,.,.,"2,385",24,4,"1,794",491,72,2305,2240,"2,911","2,755","2,717"
.,Additive manufacturing,.,97,0,1,58,14,24,72,42,67,51,33
.,Biomanufacturing,.,160,0,0,96,37,27,153,145,169,161,161
.,Factory communications,.,44,0,1,40,2,1,30,16,13,7,4
.,Factory operations planning and control,.,53,3,0,37,10,3,37,26,33,23,22
.,Interoperability in manufacturing,.,148,6,1,126,13,2,128,123,139,123,121
.,Machining,.,12,0,0,10,2,0,7,5,15,10,5
.,Manufacturing systems design and analysis,.,599,8,1,537,42,11,575,566,607,578,575
.,"Monitoring, diagnostics and prognostics",.,,,,,,,,,,,
.,Process improvement,.,36,1,0,25,4,6,24,15,13,5,3
.,Process measurement and control,.,292,0,0,264,15,13,277,261,274,264,257
.,Product data,.,32,3,0,22,2,5,20,12,22,4,3
.,Quality assurance,.,49,1,0,22,13,13,36,24,33,26,24
.,Robotics in manufacturing,.,333,0,2,260,54,17,332,318,428,424,418
.,.,Agility and adaptability,6,0,0,4,0,2,5,2,9,6,6
.,.,Collaborative robots,9,0,0,3,3,3,9,4,5,3,1
.,.,Dexterous grasping,8,0,0,5,0,3,8,3,3,3,1
.,.,Industrial autonomous vehicles,9,0,0,6,0,3,5,2,1,1,1
.,.,Mobile manipulators,6,0,0,3,0,3,4,1,1,1,1
.,.,Navigation / actuation / control,2,0,0,0,0,2,2,0,1,1,1
.,.,Sensing and perception,5,0,0,2,0,3,4,1,2,1,1
.,Supply chain,.,72,1,0,49,21,1,68,67,154,149,137
.,Sustainable manufacturing,.,130,4,0,108,15,3,124,118,198,190,186
.,Systems engineering,.,29,0,0,22,5,2,17,16,19,6,6
.,Systems integration,.,73,3,1,51,4,14,53,34,31,9,8
.,Technology commercialization,.,26,0,0,7,18,1,24,23,32,30,29
Materials ,.,.,"1,630",7,16,"1,263",217,127,1554,1472,"1,669","1,529","1,457"
.,Ceramics,.,"1,300",2,3,"1,265",21,9,1295,1288,"1,303","1,292","1,286"
.,Composites,.,73,1,6,41,10,15,65,56,67,47,43
.,Concrete/cement,.,27,17,0,0,5,5,27,26,77,71,31
.,Materials characterization,.,493,2,24,369,50,48,456,416,455,397,387
.,.,Composition and structure,341,6,18,269,21,27,314,285,288,257,259
.,.,Magnetic properties,12,0,0,3,6,3,5,8,15,10,7
.,.,Mechanical properties,75,0,2,49,8,16,55,37,41,24,19
.,.,Thermal properties,26,0,2,13,3,8,21,14,19,11,7
.,Metals,.,644,1,6,527,55,55,624,593,650,617,598
.,Modeling and computational material science,.,136,4,0,111,12,9,108,88,90,67,275
.,Polymers,.,"1,645",0,11,"1,551",46,37,1597,1556,"1,577","1,520","1,500"
.,Superconductors,.,219,0,0,207,8,4,213,209,213,207,203
Mathematics and Statistics,.,.,487,5,0,311,101,70,470,459,"1,021","1,008","1,005"
.,Experiment design,.,19,0,1,7,1,10,16,6,25,13,13
.,Image and signal processing,.,237,1,1,213,13,9,229,208,225,214,209
.,Mathematical knowledge management,.,4,0,0,3,1,0,3,2,3,2,2
.,Modeling and simulation research,.,311,2,1,274,16,18,289,276,292,273,51
.,Numerical methods and software,.,145,5,1,116,16,7,131,126,170,164,164
.,Statistical analysis,.,306,1,0,246,10,49,293,276,287,274,272
.,Uncertainty quantification,.,83,0,1,63,4,15,73,58,66,57,57
Metrology,.,.,"3,078",0,4,"2,272",624,178,2965,2904,"3,278","3,178","3,184"
.,Acoustic/vibration metrology,.,8,0,0,0,5,3,8,5,7,5,4
.,Amount of substance,.,33,0,2,23,5,3,29,26,30,17,17
.,Dimensional metrology,.,288,0,1,263,15,9,263,244,257,237,232
.,Electrical/electromagnetic metrology,.,63,0,3,0,40,20,63,63,94,90,85
.,Flow metrology and rheology,.,169,0,7,141,9,12,157,144,149,145,143
.,Force metrology,.,115,0,0,101,14,0,110,107,119,118,116
.,Humidity metrology,.,26,0,0,19,3,4,26,24,29,27,26
.,Ionizing radiation metrology,.,35,0,1,20,9,5,33,8,12,7,3
.,Mass metrology,.,140,0,0,109,27,4,108,95,93,87,85
.,Metric,.,49,0,0,7,35,7,42,23,79,76,74
.,"Optical, photometry, and laser metrology",.,226,7,40,0,112,67,220,214,243,236,239
.,Pressure and vacuum metrology,.,69,0,0,59,10,0,65,59,70,64,61
.,Thermometry metrology,.,157,0,1,127,20,9,149,41,170,160,155
.,Time and frequency metrology,.,41,0,0,18,23,0,33,28,26,18,17
.,Weights and measures,.,210,0,0,61,148,1,162,140,163,113,42
Nanotechnology,.,.,"1,121",3,74,676,277,91,1078,1047,"1,129","1,094","1,080"
.,Nanobiotechnology,.,112,0,0,85,17,10,98,93,97,91,90
.,Nanochemistry,.,92,0,1,63,24,4,83,77,76,67,67
.,Nanoelectronics,.,341,1,1,262,51,26,321,307,315,294,285
.,Nanofabrication/manufacturing,.,287,1,94,0,146,46,277,274,374,353,354
.,.,Lithography,114,0,3,92,13,6,112,112,110,105,105
.,.,Self-assembly,53,0,0,40,9,4,52,49,46,41,41
.,Nanofluidics,.,80,0,0,47,19,14,74,73,73,70,68
.,Nanomagnetics,.,316,0,0,284,19,13,310,306,299,294,292
.,Nanomaterials,.,996,1,6,776,142,71,970,926,937,908,892
.,Nanomechanics,.,168,0,0,121,31,16,159,149,153,148,145
.,Nanometrology,.,913,1,10,748,95,59,899,868,897,873,874
.,Nanophotonics,.,160,0,1,121,29,9,138,125,126,121,112
.,Nanophysics,.,128,0,1,55,53,19,119,115,116,110,106
.,Nanoplasmonics,.,55,0,0,34,17,4,50,48,49,45,45
Neutron Research,.,.,531,7,12,388,108,16,499,454,552,554,531
Performance Excellence,.,.,212,0,0,2,209,1,200,194,,448,445
.,Assessment tools and services,.,27,0,0,5,20,2,22,14,72,66,65
.,Baldrige Award,.,176,0,0,24,152,0,170,168,433,402,400
.,Baldrige Examiners,.,44,0,0,0,44,0,40,38,219,213,211
.,Baldrige Framework and Criteria,.,116,0,0,0,116,0,106,102,371,359,357
.,Best practices,.,16,0,0,0,16,0,13,11,113,106,105
.,Leadership development,.,21,0,0,0,21,0,16,14,70,68,67
Physics,.,.,"2,047",2,11,"1,477",429,128,1943,1797,"2,150","1,953","1,905"
.,"Atomic, molecular, and quantum",.,311,0,0,0,268,43,296,288,586,573,560
.,Biological physics,.,168,1,0,123,35,9,152,146,143,126,126
.,Condensed matter,.,737,1,1,684,30,21,675,619,599,514,498
.,Electron physics,.,176,1,6,143,20,6,167,155,162,157,154
.,Magnetics,.,131,0,0,87,32,12,121,111,120,111,107
.,Nuclear physics,.,88,0,2,65,14,7,78,63,75,74,74
.,Optical physics ,.,772,4,25,560,125,58,706,670,677,621,608
.,Quantum information science,.,799,3,0,604,157,35,751,717,776,747,737
.,Radiation,.,334,0,9,177,39,109,323,303,380,360,357
.,Spectroscopy,.,638,1,2,595,26,14,599,560,619,571,559
.,Thermodynamics,.,339,0,4,298,15,22,324,111,345,319,311
.,Time and frequency,.,216,1,0,84,115,16,203,287,401,387,386
Public Safety,.,.,284,0,2,193,66,23,252,238,401,302,290
.,Chemical/Biological/Radiological/Nuclear/Explosives (CBRNE),.,41,0,2,0,29,10,41,41,66,61,65
.,First responder preparedness,.,66,0,1,23,37,5,64,59,80,66,64
.,Law enforcement,.,219,0,5,109,94,11,213,208,310,307,316
.,Physical security,.,9,0,3,2,0,4,9,7,21,11,10
.,Public safety communications research,.,90,1,1,56,30,2,66,41,53,40,37
.,Response robots,.,35,0,2,15,15,3,35,34,64,63,63
.,.,Aerial,2,0,0,0,2,0,2,1,2,2,1
.,.,Aquatic and underwater,0,0,0,0,0,0,0,0,1,1,1
.,.,Ground,0,0,0,0,0,0,0,0,1,1,1
Resilience,.,.,176,1,0,81,84,10,162,153,314,217,207
.,Community resilience,.,63,1,0,37,25,0,45,29,36,22,0
.,Disaster and failure studies,.,341,0,0,210,114,17,336,334,493,485,485
.,Earthquake risk reduction,.,140,0,0,98,22,20,133,127,146,137,129
.,Resilient materials,.,8,0,0,3,4,1,5,3,7,6,5
.,Windstorm impact reduction,.,66,0,0,45,16,5,64,60,92,90,88
Standards,.,.,939,3,2,525,288,121,885,851,"1,283","1,154","1,132"
.,Accreditation,.,89,0,0,63,21,5,87,85,136,127,125
.,Calibration Services,.,408,0,11,300,42,55,397,383,523,509,506
.,Conformity assessment,.,200,0,0,153,36,11,201,192,322,316,317
.,Documentary standards,.,352,1,2,248,51,50,344,320,392,372,372
.,Frameworks,.,23,0,0,16,5,2,22,3,1,1,1
.,Reference data,.,259,1,0,184,40,34,248,236,598,565,564
.,Reference instruments,.,16,0,2,6,3,5,15,10,21,14,11
.,Reference materials,.,596,0,8,388,109,91,472,525,637,607,595
.,Standards education,.,11,0,0,4,7,0,10,9,11,5,4
Transportation,.,.,141,0,0,95,36,10,133,130,138,132,130
.,Aerospace,.,28,0,2,10,8,8,27,18,21,20,18
.,Automotive,.,41,0,0,21,11,9,38,27,32,32,31
.,Rail,.,1,0,0,0,1,0,1,1,2,2,2
,,,,,,,,,,,,,
