Type of data: Time of Wetness
Units: Hour/year

Station	3 months	6 months	9 months	12 months	24 months	36 months
1	2000	1285	2428	2369	4739	5092
2	1081	853	967	1280	2560	3373
3	1940	1247	2356	2369	4739	3802
4	464	366	415	507	1015	1313
5	833	463	1019	319	639	908
6	979	773	876	1058	2115	2797
7	1433	1170	1323	1363	2725	3596
8	1384	1092	1238	1141	2282	3605
9	1042	502	721	1584	3169	2358
10	1074	735	1300	786	1573	2069
11	1422	1122	1272	661	1323	1585
12	1265	813	1536	866	1732	7539
13	1689	1023	1112	1955	3910	4238
14	623	334	468	631	1262	1126
15	613	297	111	344	690	1414
16	1652	826	1126	1681	3362	2393
17	440	283	534	561	1123	1280
18	1033	369	811	966	976	1523
19	552	189	583	399	798	1740
20	1226	663	1011	1135	2271	2168
21	398	750	788	1213	2426	2446
22	3188	1930	2097	2408	4817	5686
23	711	340	464	1820	3641	1348
24	1597	784	294	1465	2930	1289
25	1636	974	1041	2579	5158	5327
26	1120	634	756	1202	2405	432
27	601	751	1089	1331	2663	2644
28	661	579	1075	504	1008	837
29	609	533	990	994	1989	1957
30	1391	0	0	519	1039	3140
31	182	71	21	878	1756	221
32	896	224	454	878	1756	2219
33	733	395	903	650	1300	2090
34	388	249	470	476	953	1336
35	1052	563	788	2389	4778	3217
36	1563	946	1028	1955	3910	3517
37	1310	598	573	1220	2440	2095
38	1303	838	1582	1562	3125	3613
39	546	670	760	996	360	881
40	546	670	760	996	360	881
41	1334	242	684	650	752	1030
42	4016	1116	548	3158	1860	4970
43	4016	1116	548	3158	1860	4970
44	4158	640	344	2662	1174	4400
45	4362	858	636	4082	1006	7182
46	5050	928	538	3680	1400	5020
47	2828	946	746	2106	1020	3594
48	3026	1386	748	4378	1206	1786
49	--	--	--	--	--	--
50	2910	514	258	398	590	3743
51	--	--	--	--	--	--
52	3356	1684	1004	3124	1730	4136
53	278	196	78	254	230	424
54	2272	544	344	2646	1022	3916
55	2272	544	344	2646	1022	3916
56	2272	544	344	2646	1022	3916
57	3961	1030	299	4126	974	2708
58	1792	312	54	1492	358	2702
59	1792	312	54	1492	358	2702
60	--	--	--	--	--	--
61	2710	310	266	3636	932	3116
62	2204	442	54	1492	358	2010
63	2604	422	60	2072	644	2448
64	2604	422	60	2072	644	2448
65	2932	1658	952	4324	2112	4322
66	5130	1604	724	4436	1928	5875
67	3294	676	656	2896	1650	4456
68	1538	312	386	816	1412	3338
69	1170	1184	610	1334	1390	2802
70	1416	886	598	1858	1316	2854
71	3520	748	548	1710	1438	3188
72	2986	1304	950	2710	1818	3206
73	1566	646	1000	3092	1362	3724
