ModelName,DS-5654A
FileVersion,6
Acquisition Time,2017/12/12 16:01:24
Time/div(second),1E-06
Delay(second),-1.18E-06
Delta(second),20E-09
Acquisition Mode,Normal
Trigger Address,191
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,Off
CH1 Volt/div,100E-03
CH2 Volt/div,100E-03
CH3 Volt/div,2.00E-03
CH4 Volt/div,2.00E+00
CH1 Offset,-106E-03
CH2 Offset,-178E-03
CH3 Offset,77.9E-03
CH4 Offset,-1.04E+00
CH1 Coupling,DC1M
CH2 Coupling,DC1M
CH3 Coupling,DC50
CH4 Coupling,DC1M
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-1.27E-02,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-9.62E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-9.62E-03,,,
-1.27E-02,,,
-1.27E-02,,,
-1.58E-02,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-1.27E-02,,,
-9.62E-03,,,
-9.62E-03,,,
-1.27E-02,,,
-9.62E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-9.62E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-9.62E-03,,,
-3.37E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-6.50E-03,,,
-3.37E-03,,,
-2.50E-04,,,
-3.37E-03,,,
-2.50E-04,,,
-2.50E-04,,,
2.87E-03,,,
6.00E-03,,,
2.87E-03,,,
6.00E-03,,,
6.00E-03,,,
6.00E-03,,,
