RouteID	Route
1	Departure1
2	Departure2
3	Departure3
4	Departure4
5	Departure5
6	Departure6
7	Departure7
8	Departure8
9	Departure9
10	Departure10
11	Departure11
12	Departure12
13	Departure13
14	Arrival1
15	Arrival2
16	Arrival3
17	Arrival4
18	Arrival5
19	Arrival6
20	Arrival7
21	Arrival8
22	Arrival9
23	Arrival10
24	Arrival11
25	Arrival12
26	Arrival13
27	Arrival14

LAYER	Departure1
44.82652204	20.29116442
44.81052914	20.32723163
44.78995528	20.37277302
44.78495777	20.38690387
44.78210925	20.40127751
44.78080569	20.41682716
44.78064833	20.43938925
44.78044608	20.46319736
44.78162649	20.51061426
44.78141197	20.53431434
44.78239521	20.55743527
44.78697038	20.57403178
44.79739546	20.5946418
44.82342533	20.63616035
44.90569908	20.7627865
45.04867551	21.00697984
45.23299027	21.29800935
	
LAYER	Departure2
44.82657307	20.29110474
44.81058931	20.3270755
44.7943024	20.36295976
44.78217734	20.38973259
44.76651024	20.42430408
44.75392823	20.45253845
44.73200128	20.51066517
44.71588612	20.55404314
44.71603619	20.60348111
44.73756189	20.79568548
44.74518409	20.9376221
44.77282818	21.45951305
44.76863843	21.62725947
	
LAYER	Departure3
44.8265744	20.29108141
44.80675927	20.33528122
44.78924048	20.37466303
44.78199736	20.38218154
44.54270716	20.72349344
44.3684515	20.96082375
44.21842787	21.16236096
44.15967197	21.24387262
	
LAYER	Departure4
44.82656824	20.2910181
44.80707009	20.33540753
44.78248138	20.37821833
44.74499532	20.41212599
44.07218374	20.93437778
44.04997737	20.95182663
	
LAYER	Departure5
44.82666027	20.29084724
44.81207976	20.32345295
44.80359629	20.34315898
44.79793069	20.34715611
44.78466697	20.34748293
44.77021727	20.34241692
44.74890958	20.33313393
44.26180333	20.12080864
44.08529239	20.03987129
	
LAYER	Departure6
44.8265904	20.29109727
44.8073074	20.3347231
44.79157874	20.37196302
44.77997236	20.3981135
44.77263727	20.40348925
44.76395337	20.40231268
44.75048329	20.39259742
44.73737081	20.36568092
44.69057442	20.23504414
44.49327596	19.61700297
	
LAYER	Departure7
44.82656856	20.29090198
44.8078439	20.3331811
44.79869308	20.35068876
44.79067879	20.35918308
44.78103887	20.36268631
44.76817786	20.35876652
44.76458429	20.35175647
44.76128461	20.34217119
44.75384924	20.29366973
44.74906884	20.26632462
44.74493111	20.22901981
44.74913587	20.18476699
44.76711619	20.13635755
44.89125888	19.78599684
45.07681276	19.29077655
	
LAYER	Departure8
44.81054002	20.32727681
44.82657639	20.29103682
44.84820751	20.24482362
44.85331702	20.23439792
44.85771559	20.22958117
44.86606639	20.22623359
44.88690436	20.22383779
44.91954757	20.22025283
44.9777066	20.21299211
45.17667716	20.19027698
45.46322946	20.16355271
	
LAYER	Departure9
44.81055231	20.32727843
44.82654452	20.29122064
44.84513077	20.25524428
44.85541927	20.23708182
44.8710328	20.22039564
45.09438033	20.0695112
45.46766988	19.79564177
	
LAYER	Departure10
44.8105943	20.32692652
44.8264159	20.29130354
44.84248729	20.25701032
44.88197243	20.11910513
45.01516368	19.61206472
45.10588018	19.31331044
	
LAYER	Departure11
44.81053411	20.32709912
44.8261911	20.2914715
44.83079134	20.28153213
44.83606764	20.26631032
44.83811199	20.25734666
44.83751642	20.24814148
44.83555329	20.24063225
44.81667056	20.20352306
44.64500254	19.86620241
44.54184631	19.60288084
	
LAYER	Departure12
44.81052544	20.32707593
44.82625557	20.29160094
44.83074266	20.28132519
44.82991156	20.26619354
44.82574281	20.25217386
44.81477386	20.24144261
44.79078403	20.22965641
44.73976906	20.21071663
44.63173212	20.16846667
44.11066062	19.97279178
	
LAYER	Departure13
44.81060432	20.32699961
44.82631415	20.29118364
44.83357179	20.27584853
44.83457565	20.26957011
44.83421224	20.26024745
44.83242288	20.25417723
44.82761243	20.24194103
44.8181292	20.23491316
44.79395049	20.23110199
44.76754557	20.24268186
44.74979235	20.26672458
44.72849169	20.33799296
44.71270916	20.42886421
44.720272	20.48111496
44.76318275	20.55052877
44.84209846	20.67175351

LAYER	Arrival1
46.15123792	20.0821506
45.16795651	20.01682007
45.03185056	20.03462586
44.95254686	20.0698141
44.92300488	20.07966166
44.90163272	20.12643672
44.82661479	20.29107903
	
LAYER	Arrival2
46.16971548	19.63900311
44.99046483	20.01644742
44.93701549	20.05020993
44.90311396	20.11670081
44.8265925	20.29111561
	
LAYER	Arrival3
45.91020705	18.85935231
45.05921724	19.9023771
44.93547852	20.05178125
44.82658388	20.29109588
	
LAYER	Arrival4
45.36551533	18.6537561
44.96016145	19.99120135
44.82651641	20.29116255
	
LAYER	Arrival5
44.65478305	19.12265877
44.94077232	19.92545616
44.94956709	19.97482378
44.94389444	20.01750716
44.93305152	20.05367226
44.8267619	20.29079628
	
LAYER	Arrival6
43.64160561	19.43727834
44.83311999	19.95361981
44.88697717	19.99511649
44.91432362	20.06112785
44.91835086	20.08928947
44.8265616	20.29116106
	
