Data for Xe Arc lamp spectrometer
=================================

There are two files for the arc lamp data:
160113_01.asc		Mercury emission lamp spectrum for wavelength calibration.
160113_02.asc		Time profile of arc lamp intensity through the spectrometer
Description of the acquisition parameters and experimental protocol are described below. The bottom on the file provides the approximate wavelength calibration based on 160113_01.asc spectrum.


160113_01.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 1
CCD temperature = -10 C
This is the wavelength calibration of the Xe arc lamp spectrometer.  Calibration was  based on mercury atomic emission lamp spectrum (file “160113_01.asc”). 
Columns are: Pixel number, intensity (scan 1)
Rows 1-1024 correspond to measurement at different pixels (and wavelengths).

160113_02.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 500    (=12.6 s per scan)
Total number of recorded spectra = 200
CCD temperature = -10 C
Time profile of the Xe arc lamp intensity transmitted through the cavity. Volumes  of 10, 6, and 2  microlitre biacetyl were injected into the inlet stream at approximately scans 70, 112, and 149. The lamp was blocked from scan 196 to 200.
Columns are: Pixel number, intensities (scan 1, scan 2, scan 3… up to scan 200)
Rows 1-1024 correspond to different pixels (and wavelengths).

Paper figures are based on 160113_02.asc data.
Fig. 1b: shows the intensity at scan 1 and scan 75 plotted against wavelength
Fig. 2b. shows the time profile of the intensity at 400 nm (pixel 721) against scan number (raw data) and data normalised based on the intensity at 215 nm (pixel 1).
Fig. 3b. shows the correlation between the intensity at 215 nm and 400 nm for scans 1-110 and 196-200. The background intensity (scan 200) was subtracted from the intensity at 215 nm. The baseline makes little difference to the intensity at 400 nm and was ignored.  For figure clarity, the 2 subsequent additions of biacetyl were not shown, but including them does not alter the findings of the paper.


WAVELENGTH CALIBRATION
======================
Pixel no.	Wavelength calibration (nm)	
154	255.48
155	255.74
156	256.00
157	256.27
158	256.53
159	256.79
160	257.06
161	257.32
162	257.58
163	257.84
164	258.11
165	258.37
166	258.63
167	258.89
168	259.16
169	259.42
170	259.68
171	259.94
172	260.21
173	260.47
174	260.73
175	260.99
176	261.26
177	261.52
178	261.78
179	262.04
180	262.30
181	262.57
182	262.83
183	263.09
184	263.35
185	263.62
186	263.88
187	264.14
188	264.40
189	264.66
190	264.92
191	265.19
192	265.45
193	265.71
194	265.97
195	266.23
196	266.50
197	266.76
198	267.02
199	267.28
200	267.54
201	267.80
202	268.07
203	268.33
204	268.59
205	268.85
206	269.11
207	269.37
208	269.64
209	269.90
210	270.16
211	270.42
212	270.68
213	270.94
214	271.20
215	271.46
216	271.73
217	271.99
218	272.25
219	272.51
220	272.77
221	273.03
222	273.29
223	273.55
224	273.81
225	274.08
226	274.34
227	274.60
228	274.86
229	275.12
230	275.38
231	275.64
232	275.90
233	276.16
234	276.42
235	276.68
236	276.94
237	277.21
238	277.47
239	277.73
240	277.99
241	278.25
242	278.51
243	278.77
244	279.03
245	279.29
246	279.55
247	279.81
248	280.07
249	280.33
250	280.59
251	280.85
252	281.11
253	281.37
254	281.63
255	281.89
256	282.15
257	282.41
258	282.67
259	282.93
260	283.19
261	283.45
262	283.71
263	283.97
264	284.23
265	284.49
266	284.75
267	285.01
268	285.27
269	285.53
270	285.79
271	286.05
272	286.31
273	286.57
274	286.83
275	287.09
276	287.35
277	287.61
278	287.87
279	288.13
280	288.39
281	288.65
282	288.91
283	289.17
284	289.43
285	289.69
286	289.95
287	290.20
288	290.46
289	290.72
290	290.98
291	291.24
292	291.50
293	291.76
294	292.02
295	292.28
296	292.54
297	292.80
298	293.06
299	293.31
300	293.57
301	293.83
302	294.09
303	294.35
304	294.61
305	294.87
306	295.13
307	295.39
308	295.64
309	295.90
310	296.16
311	296.42
312	296.68
313	296.94
314	297.20
315	297.46
316	297.71
317	297.97
318	298.23
319	298.49
320	298.75
321	299.01
322	299.26
323	299.52
324	299.78
325	300.04
326	300.30
327	300.56
328	300.81
329	301.07
330	301.33
331	301.59
332	301.85
333	302.11
334	302.36
335	302.62
336	302.88
337	303.14
338	303.40
339	303.65
340	303.91
341	304.17
342	304.43
343	304.68
344	304.94
345	305.20
346	305.46
347	305.72
348	305.97
349	306.23
350	306.49
351	306.75
352	307.00
353	307.26
354	307.52
355	307.78
356	308.03
357	308.29
358	308.55
359	308.81
360	309.06
361	309.32
362	309.58
363	309.84
364	310.09
365	310.35
366	310.61
367	310.86
368	311.12
369	311.38
